"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2014-01-02",136.009995,137.25,135.509995,136.669998,3366700,116.807953
"2014-01-03",137.059998,138.5,137.050003,137.619995,3177400,117.619873
"2014-01-06",139.399994,139.759995,137.800003,138.410004,4196500,118.295074
"2014-01-07",138.580002,141.100006,138.5,140.509995,4238500,120.089874
"2014-01-08",140.690002,141.399994,139.360001,140.820007,4236100,120.354836
"2014-01-09",141.509995,142.520004,140.539993,142.130005,4052500,121.474449
"2014-01-10",142.789993,142.800003,140.899994,141.899994,4549500,121.277863
"2014-01-13",141.550003,142.139999,140.380005,140.699997,4462400,120.252281
"2014-01-14",140.850006,141.699997,137.800003,140.009995,8441600,119.662537
"2014-01-15",140.300003,141.080002,140.139999,140.619995,3030800,120.183922
"2014-01-16",140.330002,141.449997,140.070007,140.210007,3062900,119.83345
"2014-01-17",140.080002,141,139.75,140.460007,3382700,120.047142
"2014-01-21",141.460007,142.460007,140.809998,141.669998,3240600,121.081291
"2014-01-22",142.309998,144.570007,141.869995,144.369995,4388700,123.388924
"2014-01-23",143.100006,143.889999,141.100006,141.309998,4491400,120.773605
"2014-01-24",140.399994,140.470001,136.320007,136.649994,5856800,116.790833
"2014-01-27",136.699997,138.460007,135.649994,137.360001,5057800,117.397675
"2014-01-28",137.610001,138.089996,136.440002,137.089996,4606200,117.166893
"2014-01-29",131.699997,131.759995,128.070007,129.779999,15993400,110.919273
"2014-01-30",131.699997,131.699997,125.199997,126.529999,10406200,108.141563
"2014-01-31",124.459999,126.870003,123.080002,125.260002,9732700,107.056137
"2014-02-03",124.239998,126.519997,122.75,123.080002,9309600,105.192955
"2014-02-04",123.07,123.800003,120.529999,122.040001,9304100,104.304108
"2014-02-05",121,121.940002,118.769997,121.400002,9689100,103.757126
"2014-02-06",121.790001,122.720001,121.510002,122.669998,6738800,104.842545
"2014-02-07",123.75,127.209999,123.650002,127.019997,8906300,108.560356
"2014-02-10",128.960007,128.970001,126.349998,127.160004,8173500,108.680016
"2014-02-11",127.650002,130.690002,127.459999,130.160004,7874000,111.244041
"2014-02-12",130.289993,130.550003,128,128.130005,5798800,110.126709
"2014-02-13",127.059998,129.940002,127.059998,129.5,4203400,111.304184
"2014-02-14",129.089996,130.410004,128.020004,130.160004,4807700,111.871475
