"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2014-04-01",8.98963,9.179259,8.936296,9.164444,661500,8.315763
"2014-04-02",9.194074,9.208889,8.971852,9.114074,533925,8.270058
"2014-04-03",9.143704,9.161481,9.045926,9.081481,320288,8.240483
"2014-04-04",9.105185,9.105185,8.814815,8.948148,784350,8.119497
"2014-04-07",8.936296,9.019259,8.859259,8.921481,480600,8.095299
"2014-04-08",8.894815,8.998519,8.820741,8.962963,287213,8.13294
"2014-04-09",8.962963,9.028148,8.888889,9.019259,223088,8.184024
"2014-04-10",8.995556,9.125926,8.746667,8.794074,469463,7.979692
"2014-04-11",8.743704,8.882963,8.687407,8.788148,687825,7.974312
"2014-04-14",8.865185,8.891852,8.728889,8.773333,330075,7.960871
"2014-04-15",8.785185,8.882963,8.696296,8.74963,387113,7.939362
"2014-04-16",8.773333,8.847407,8.764444,8.811852,397913,7.995821
"2014-04-17",8.808889,8.936296,8.808889,8.859259,374625,8.038837
"2014-04-21",8.856296,8.962963,8.856296,8.888889,351338,8.065725
"2014-04-22",8.868148,9.004444,8.868148,8.915556,395550,8.089924
"2014-04-23",8.912593,9.054815,8.841481,8.948148,276750,8.119497
"2014-04-24",8.998519,9.013333,8.823704,8.921481,437400,8.095299
"2014-04-25",8.915556,8.924444,8.820741,8.841481,311175,8.022707
"2014-04-28",8.88,8.971852,8.82963,8.945185,471150,8.11681
"2014-04-29",8.962963,9.013333,8.844444,8.862222,264263,8.041529
"2014-04-30",8.882963,8.951111,8.835556,8.912593,517388,8.087234
"2014-05-01",8.936296,8.954074,8.826667,8.918519,402300,8.09261
"2014-05-02",8.888889,8.983704,8.877037,8.927407,296663,8.100677
"2014-05-05",8.871111,8.96,8.802963,8.906667,335475,8.081859
"2014-05-06",8.862222,8.933333,8.823704,8.838519,384413,8.020021
"2014-05-07",8.82963,8.965926,8.82963,8.957037,493425,8.156273
"2014-05-08",8.951111,9.048889,8.838519,8.841481,482963,8.051046
"2014-05-09",8.82963,8.939259,8.82963,8.936296,360450,8.137388
"2014-05-12",8.983704,9.117037,8.962963,9.022222,313875,8.215629
"2014-05-13",9.001481,9.031111,8.915556,8.93037,260550,8.13199
"2014-05-14",8.885926,8.915556,8.823704,8.832593,423563,8.042954
"2014-05-15",8.82963,8.885926,8.773333,8.88,610538,8.086122
"2014-05-16",8.856296,8.957037,8.832593,8.936296,364838,8.137388
"2014-05-19",8.939259,9.034074,8.906667,8.995556,285525,8.191346
"2014-05-20",8.965926,8.98963,8.817778,8.862222,508275,8.069935
"2014-05-21",8.891852,8.954074,8.853333,8.900741,262913,8.105009
"2014-05-22",8.924444,8.983704,8.90963,8.93037,284175,8.13199
"2014-05-23",8.942222,9.072593,8.942222,9.045926,268988,8.237215
"2014-05-27",9.117037,9.158519,9.051852,9.09037,220050,8.277684
"2014-05-28",9.081481,9.197037,9.04,9.099259,487350,8.28578
"2014-05-29",9.131852,9.22963,9.019259,9.054815,254813,8.24531
"2014-05-30",9.072593,9.105185,8.977778,9.087407,219038,8.274989
"2014-06-02",9.06963,9.205926,8.98963,9.179259,344250,8.358628
"2014-06-03",9.152593,9.262222,9.057778,9.238519,803925,8.412589
"2014-06-04",9.223704,9.223704,9.140741,9.179259,372938,8.358628
"2014-06-05",9.217778,9.33037,9.161481,9.25037,414788,8.42338
"2014-06-06",9.297778,9.297778,9.194074,9.214815,314550,8.391005
"2014-06-09",9.214815,9.282963,9.179259,9.256296,236588,8.428781
"2014-06-10",9.208889,9.274074,9.194074,9.256296,303413,8.428781
"2014-06-11",9.253333,9.262222,9.14963,9.226667,507938,8.401797
"2014-06-12",9.202963,9.223704,9.117037,9.152593,295313,8.334347
"2014-06-13",9.146667,9.256296,9.111111,9.146667,342563,8.32895
"2014-06-16",9.117037,9.143704,9.060741,9.096296,312525,8.283082
"2014-06-17",9.117037,9.285926,9.066667,9.105185,761063,8.291175
"2014-06-18",9.096296,9.117037,9.045926,9.084444,338513,8.272288
"2014-06-19",9.111111,9.114074,9.031111,9.04,343238,8.231818
"2014-06-20",9.04,9.12,8.980741,9.01037,1058063,8.204837
"2014-06-23",9.045926,9.045926,8.921481,8.924444,442125,8.126595
"2014-06-24",8.918519,8.954074,8.838519,8.85037,479588,8.059142
"2014-06-25",8.805926,8.903704,8.764444,8.85037,835650,8.059142
"2014-06-26",8.820741,8.844444,8.731852,8.794074,746213,8.007879
