"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2011-04-04",126.889999,128.820007,125.93,128,723900,109.923996
"2011-04-05",127.470001,130.190002,127.129997,128.589996,599200,110.430664
"2011-04-06",128.820007,129.389999,125.07,125.489998,622000,107.768448
"2011-04-07",125.379997,127.32,124.5,126.080002,534000,108.275139
"2011-04-08",126.32,126.739998,122.489998,123.599998,582500,106.145363
"2011-04-11",123.800003,125.25,123.07,124.480003,400800,106.90107
"2011-04-12",123.440002,124.93,123.190002,124.309998,334300,106.755074
"2011-04-13",125.169998,128.880005,125,128.389999,713800,110.258911
"2011-04-14",127.459999,128.75,126.610001,128,475500,109.923996
"2011-04-15",128.669998,129.940002,127.790001,129,553200,110.782768
"2011-04-18",127.459999,127.940002,125.510002,127.379997,662400,109.391556
"2011-04-19",127.879997,130.5,127.879997,128.490005,708000,110.344826
"2011-04-20",130.199997,133.029999,129.820007,131.770004,642400,113.161598
"2011-04-21",132,133.470001,131.009995,133,420900,114.217903
"2011-04-25",132.759995,134.139999,131.740005,132.240005,297400,113.565224
"2011-04-26",132.479996,132.729996,130.660004,130.990005,560000,112.491776
"2011-04-27",131.679993,132.619995,130.839996,132.309998,374400,113.625343
"2011-04-28",132.210007,132.429993,131.139999,131.559998,493500,112.98127
"2011-04-29",131.639999,131.839996,130.070007,130.770004,650000,112.302795
"2011-05-02",131.520004,132.399994,128.699997,129.289993,515300,111.031799
"2011-05-03",129.240005,129.919998,126.870003,127.760002,439400,109.717896
"2011-05-04",127.699997,129.100006,126.989998,128.270004,582000,110.155861
"2011-05-05",127.279999,130.460007,126.800003,130.020004,709800,111.658768
"2011-05-06",130.440002,131.449997,128.350006,129.610001,631100,111.306648
"2011-05-09",129.589996,130.449997,128.889999,129.559998,326000,111.263672
"2011-05-10",130.320007,133.229996,130.029999,132.690002,718200,113.951683
"2011-05-11",132.779999,133.729996,130.419998,131.869995,418200,113.247482
"2011-05-12",131.929993,134.660004,130.979996,134.580002,627000,115.574783
"2011-05-13",134.869995,135.740005,133.190002,133.309998,488400,114.484146
"2011-05-16",132.970001,134.149994,131.979996,132.25,419900,113.573814
"2011-05-17",131.289993,132.380005,129.529999,131.360001,575400,112.809471
"2011-05-18",131.490005,134.020004,131.490005,134.009995,434400,115.085281
"2011-05-19",134.720001,136.5,134.050003,136.100006,660500,116.880142
"2011-05-20",134.770004,135.550003,128.889999,130.210007,1658100,111.821892
"2011-05-23",129.25,130.179993,127.75,128.619995,1008700,110.456413
"2011-05-24",128.979996,133.419998,127.809998,129.389999,1698300,111.117676
"2011-05-25",117.949997,122.199997,114.599998,114.699997,8424000,98.502205
"2011-05-26",116.209999,118.550003,114.910004,118.32,3573900,101.611008
"2011-05-27",118.419998,126.599998,118.419998,126.43,4497900,108.575706
"2011-05-31",126.110001,127.860001,125.43,126.769997,3963800,108.867699
"2011-06-01",126.120003,127.349998,121.379997,121.449997,3344200,104.298981
"2011-06-02",122.5,123.5,120.739998,120.839996,1899000,103.775131
"2011-06-03",119.25,124.589996,119.25,122.739998,1632500,105.406807
"2011-06-06",122.300003,123.300003,120.389999,121.349998,1699300,104.213104
"2011-06-07",122.239998,123.449997,121.949997,122.07,1628700,104.831421
"2011-06-08",121.099998,121.879997,118.730003,119.489998,1491800,102.615784
"2011-06-09",119.919998,122.809998,119.919998,121.830002,1075800,104.62532
"2011-06-10",121,121.510002,119.32,119.629997,997500,102.736
"2011-06-13",120.279999,122.919998,119.68,120.459999,1097600,103.448792
"2011-06-14",121.650002,122.769997,121.059998,122.480003,917700,105.18351
"2011-06-15",120.989998,121.75,120.129997,120.57,1357500,103.543243
"2011-06-16",120.57,122.400002,119.349998,122.260002,1336900,104.994576
"2011-06-17",124,124.650002,122.75,124.040001,1397700,106.523232
"2011-06-20",123.190002,127.120003,122.919998,126.160004,828300,108.343834
"2011-06-21",127.349998,128.100006,126.410004,127.830002,752700,109.777992
"2011-06-22",127.779999,129.460007,126.82,127.190002,868600,109.228386
"2011-06-23",125.760002,128.179993,123.809998,127.949997,1800000,109.88105
"2011-06-24",127.75,128.509995,125.129997,125.580002,951400,107.845741
"2011-06-27",126.120003,127.25,125.5,126.209999,1109000,108.386765
"2011-06-28",126.620003,130.029999,126.620003,129.899994,949500,111.555649
"2011-06-29",129.779999,132.539993,128.490005,131.029999,1004600,112.699608
"2011-06-30",131.119995,133.589996,131.029999,132.610001,887000,114.058571
"2011-07-01",132.100006,134.570007,131.5,134.300003,713000,115.512192
"2011-07-05",134.5,136.130005,133,135.539993,618500,116.578712
"2011-07-06",135.179993,137.080002,134.770004,135.929993,532300,116.914131
"2011-07-07",137.669998,140.289993,137.580002,139.190002,849600,119.718094
"2011-07-08",137.059998,138.5,136.380005,137.610001,677400,118.359123
"2011-07-11",135.369995,137.199997,133.240005,134.300003,895400,115.512192
"2011-07-12",133.830002,135.110001,133.539993,134.039993,809800,115.288528
