"dates","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2013-12-24",69.729393,70.232849,69.65387,70.151039,1188413,58.966461
"2013-12-26",70.239143,70.962868,70.20768,70.918816,3892097,59.611816
"2013-12-27",71.019508,71.139084,70.761482,70.988045,2532707,59.67001
"2013-12-30",71.050972,71.050972,70.547516,70.943993,2566076,59.63298
"2013-12-31",71.2146,71.705475,71.164253,71.617371,3341985,60.199005
"2014-01-02",71.050972,71.246063,70.679672,70.792953,4210056,59.506023
"2014-01-03",71.082443,71.434868,70.943993,71.050972,3678376,59.722923
"2014-01-06",71.35305,71.64254,70.585274,70.98175,4698355,59.664726
"2014-01-07",71.18943,71.724358,71.050972,71.434868,3972977,60.045601
"2014-01-08",71.076149,71.705475,70.837006,71.522972,4991685,60.119633
"2014-01-09",71.787285,71.887978,71.14537,71.56073,3373765,60.151371
"2014-01-10",71.900566,72.190056,71.113907,71.636246,3572390,60.214859
"2014-01-13",71.277534,71.963501,70.874763,70.988045,5179346,59.67001
"2014-01-14",70.906227,71.371933,70.560104,70.881058,5451065,59.580086
"2014-01-15",70.8433,71.919449,70.830711,71.787285,3609890,60.341816
"2014-01-16",71.667717,71.98867,71.485214,71.881683,4215776,60.421162
"2014-01-17",71.548141,72.039017,71.522972,71.875397,6807753,60.415901
"2014-01-21",72.271866,72.989304,72.032722,72.366264,7527411,60.828476
"2014-01-22",73.939583,74.386406,72.655762,73.077408,8013009,61.426247
"2014-01-23",72.422905,72.951546,72.051605,72.271866,6493290,60.749149
"2014-01-24",71.755821,71.963501,70.339836,70.358719,8135362,59.141033
"2014-01-27",70.409065,72.252991,70.213974,71.611076,12179685,60.193699
"2014-01-28",71.485214,71.699181,71.107613,71.655128,5819077,60.230724
"2014-01-29",71.151665,71.774704,70.755196,71.283829,6167227,59.918644
"2014-01-30",71.730644,72.54248,71.522972,72.171181,5101961,60.664532
"2014-01-31",71.101318,72.328506,70.71743,71.755821,5532898,60.315376
"2014-02-03",71.812462,72.208939,69.295151,69.326622,8361636,58.273483
"2014-02-04",68.200127,69.238518,67.652611,68.659531,15508004,57.712746
"2014-02-05",68.156075,68.527374,67.337952,67.910637,10907691,57.083252
"2014-02-06",68.030205,68.911263,68.030205,68.879799,5907425,57.897888
"2014-02-07",69.244804,69.962242,69.219635,69.685333,6328193,58.574978
"2014-02-10",69.597229,70.283195,69.433609,70.232849,6505366,59.035206
"2014-02-11",70.327248,71.239777,70.100693,71.088737,5345396,59.754642
"2014-02-12",70.818123,71.025803,70.465698,70.975456,4777011,59.972675
