"dates","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2012-05-15",90.989998,91.739998,90.849998,91.010002,4890300,70.175224
"2012-05-16",91.120003,91.690002,90.980003,91.43,4949100,70.499077
"2012-05-17",91.279999,91.580002,89.5,89.620003,9094100,69.103439
"2012-05-18",90.209999,91.110001,89.690002,89.849998,7990700,69.280762
"2012-05-21",90.010002,91.32,89.889999,91.269997,6622500,70.375687
"2012-05-22",91.959999,91.959999,91,91.339996,5063400,70.429665
"2012-05-23",90.970001,91.57,90.669998,91.480003,4236500,70.537636
"2012-05-24",91.860001,92.110001,90.830002,91.529999,5010000,70.576187
"2012-05-25",91.650002,91.800003,90.809998,91.050003,3681300,70.20607
"2012-05-29",91.410004,91.730003,90.260002,90.900002,5380300,70.090416
"2012-05-30",90.400002,90.519997,89.849998,90.110001,5375600,69.481262
"2012-05-31",89.889999,90.260002,89.260002,89.339996,6816400,69.426865
"2012-06-01",87.470001,88.129997,86.5,86.709999,10832500,67.383064
"2012-06-04",86.599998,86.779999,86.010002,86.32,7035200,67.079987
"2012-06-05",86.220001,87.410004,86.010002,87.080002,7237300,67.670578
"2012-06-06",87.919998,88.660004,87.440002,88.660004,5936000,68.898422
"2012-06-07",89.599998,89.779999,88.010002,88.379997,8321500,68.680832
"2012-06-08",86.400002,88.269997,85.919998,87.75,12060100,68.191261
"2012-06-11",88.980003,89.050003,86.589996,86.589996,9511900,67.289795
"2012-06-12",87,87.589996,86.669998,87.510002,7762000,68.004745
"2012-06-13",86.949997,88.940002,86.879997,87.970001,8838500,68.362206
"2012-06-14",88.489998,89.919998,88.120003,89.720001,7646300,69.722153
"2012-06-15",90.139999,90.760002,89.730003,90.5,9516800,70.328323
"2012-06-18",90.599998,90.620003,89.919998,90.239998,6343400,70.126259
"2012-06-19",89.970001,90.25,89.209999,89.599998,7601600,69.628891
"2012-06-20",89.589996,89.669998,88.160004,88.650002,7917500,68.890663
"2012-06-21",89.089996,89.150002,87.529999,87.639999,5762200,68.105759
"2012-06-22",88.190002,88.589996,87.980003,88.349998,5325400,68.657516
"2012-06-25",88,88.330002,87.699997,88.120003,4524400,68.47879
