"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2014-03-17",66.739998,67.290001,66.650002,67.290001,4663900,54.438122
"2014-03-18",67.419998,68.120003,67.349998,68.099998,5658600,55.093399
"2014-03-19",68.379997,68.410004,67.029999,67.5,4322600,54.608006
"2014-03-20",67.410004,68,67.110001,67.900002,3968600,54.93161
"2014-03-21",68.459999,68.480003,67.470001,67.480003,9094200,54.591835
"2014-03-24",67.68,68.07,67.410004,67.559998,5339900,54.656548
"2014-03-25",67.940002,68.470001,67.68,68.389999,5986600,55.328022
"2014-03-26",68.709999,69.190002,68.489998,68.599998,5732100,55.497929
"2014-03-27",68.610001,69.610001,68.610001,69.290001,6049900,56.056133
"2014-03-28",69.43,70.400002,69.169998,70.349998,5763100,56.913681
"2014-03-31",70.760002,70.989998,70.129997,70.349998,5020800,56.913681
"2014-04-01",70.470001,70.669998,70.129997,70.309998,4957700,56.881302
"2014-04-02",70.309998,71,70.25,70.889999,5672800,57.350548
"2014-04-03",70.919998,70.919998,70.18,70.199997,5161000,56.792332
"2014-04-04",70.830002,71,70.040001,70.220001,5520200,56.808517
"2014-04-07",70.239998,70.239998,69.330002,69.480003,5528800,56.209839
"2014-04-08",70.010002,70.230003,69.459999,70.07,5751200,56.687157
"2014-04-09",70.110001,71.559998,70.07,71.540001,7536400,57.876392
"2014-04-10",70.730003,70.830002,69.709999,69.709999,7581100,56.395908
"2014-04-11",70.279999,71.360001,69.980003,70.870003,8390800,57.334366
"2014-04-14",71.629997,71.629997,70.589996,71.510002,6240700,57.852135
"2014-04-15",71.470001,73.019997,71.290001,72.940002,7615000,59.009014
"2014-04-16",73.379997,73.870003,73.190002,73.779999,7284800,59.688583
"2014-04-17",73.57,74.889999,73.550003,74.769997,7229700,60.489491
"2014-04-21",74.730003,74.949997,74.199997,74.599998,6328900,60.351955
"2014-04-22",74.690002,74.690002,73.940002,74.169998,5086300,60.004078
"2014-04-23",74.160004,74.540001,73.949997,74.019997,5285700,59.882725
"2014-04-24",74.419998,74.639999,73.949997,74.489998,5250300,60.262947
"2014-04-25",74.440002,74.5,74.150002,74.400002,4658500,60.190163
"2014-04-28",74.559998,74.830002,74.080002,74.650002,5190800,60.392418
"2014-04-29",74.989998,75.339996,74.669998,74.68,5293400,60.416683
"2014-04-30",75.029999,75.029999,74.169998,74.309998,6853600,60.117348
"2014-05-01",75.010002,75.330002,74.050003,75.029999,5895900,60.699825
"2014-05-02",74.879997,76.849998,74.870003,76.519997,9359500,61.905273
"2014-05-05",76.400002,77.300003,76.220001,76.889999,5842700,62.204597
"2014-05-06",77.199997,77.300003,76.639999,77.080002,5020100,62.358288
"2014-05-07",77.620003,78.220001,77.339996,78.110001,7189300,63.19157
"2014-05-08",77.919998,78.07,76.769997,77.010002,6709900,62.301674
"2014-05-09",77.099998,77.650002,76.910004,77.639999,5609600,62.811329
"2014-05-12",78.110001,78.419998,77.790001,78.410004,4979100,63.43428
"2014-05-13",78.449997,78.82,78.239998,78.639999,5229000,63.620354
"2014-05-14",78.739998,78.790001,78.349998,78.529999,4463000,63.531349
"2014-05-15",78.459999,78.68,77.519997,78.110001,7914100,63.19157
"2014-05-16",78.110001,78.239998,77.449997,78.059998,5868000,63.151138
"2014-05-19",78.010002,78.57,77.940002,78.43,3341700,63.450459
"2014-05-20",78.5,78.68,78.110001,78.540001,4353500,63.539448
"2014-05-21",78.239998,78.660004,78.040001,78.529999,4484300,64.094452
"2014-05-22",78.400002,78.75,78.139999,78.459999,3508900,64.037315
"2014-05-23",78.529999,78.769997,78.300003,78.43,3566300,64.012817
"2014-05-27",78.459999,79.050003,78.459999,79.040001,4175600,64.510689
"2014-05-28",79.809998,80.540001,79.510002,79.57,6549900,64.943275
"2014-05-29",79.489998,79.839996,78.900002,79.550003,4065600,64.926949
