"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2012-09-12",61.060001,61.16,60.27,60.34,382300,50.429043
"2012-09-13",60.27,61.369999,60.009998,60.860001,367600,50.863647
"2012-09-14",61.02,61.709999,60,60.25,499500,50.353832
"2012-09-17",60.060001,60.139999,59.639999,60.099998,387800,50.513527
"2012-09-18",60.099998,60.330002,59.810001,60.16,308600,50.563961
"2012-09-19",60.470001,60.669998,60.049999,60.48,531800,50.832901
"2012-09-20",60.139999,60.630001,60.119999,60.599998,380600,50.933769
"2012-09-21",60.959999,61.130001,60.450001,60.470001,591600,50.824509
"2012-09-24",60.169998,60.400002,59.900002,60.139999,251900,50.54715
"2012-09-25",60.310001,60.41,59.790001,59.860001,358100,50.31181
"2012-09-26",59.860001,59.939999,59.330002,59.57,327000,50.068058
"2012-09-27",59.779999,60.099998,59.330002,60,259600,50.429478
"2012-09-28",59.709999,59.84,59.25,59.580002,260400,50.076473
"2012-10-01",59.779999,61.07,59.779999,60.560001,495000,50.900158
"2012-10-02",60.639999,60.970001,60.110001,60.43,3e+05,50.79089
"2012-10-03",60.5,60.650002,60.029999,60.34,197200,50.715248
"2012-10-04",60.650002,60.740002,60.23,60.599998,147600,50.933769
"2012-10-05",60.93,61.59,60.66,60.950001,264100,51.227943
"2012-10-08",60.82,60.919998,60.25,60.75,171900,51.059849
"2012-10-09",60.790001,61.060001,60.389999,60.509998,219800,50.858128
"2012-10-10",60.52,60.759998,60.150002,60.450001,330600,50.807701
"2012-10-11",60.830002,60.93,60.490002,60.740002,194000,51.051437
"2012-10-12",60.91,61.240002,60.48,60.540001,265900,50.88335
"2012-10-15",60.68,61.18,60.450001,61.099998,139800,51.354015
"2012-10-16",61.48,62.419998,61.23,62.23,235100,52.303768
"2012-10-17",62.540001,63.110001,62.23,62.900002,231700,52.866905
"2012-10-18",62.73,62.959999,62.34,62.759998,249600,52.749237
"2012-10-19",62.52,62.52,61.59,61.689999,352300,51.849915
"2012-10-22",63.400002,64.989998,62.939999,64.290001,760600,54.035191
"2012-10-23",63.509998,63.869999,62.900002,63.619999,501500,53.472069
"2012-10-24",64,64.349998,63.189999,63.290001,369700,53.194695
"2012-10-25",63.509998,64.080002,63.509998,63.880001,259600,53.690578
"2012-10-26",63.970001,64.18,63.669998,63.939999,248500,53.741013
"2012-10-31",64.080002,64.660004,63.52,64.620003,448700,54.312546
"2012-11-01",64.620003,65.519997,64.110001,65.269997,364500,54.858856
"2012-11-02",65.720001,65.949997,64.459999,64.470001,331000,54.186474
"2012-11-05",63.93,65.32,63.34,65.32,528800,54.90089
"2012-11-06",65.110001,66.220001,63.02,64.330002,830600,54.068813
"2012-11-07",63.91,63.91,62.080002,63.34,704600,53.236721
"2012-11-08",63.639999,63.639999,62.48,62.540001,461300,52.564316
"2012-11-09",62.540001,63.380001,62.43,62.59,294600,52.606354
"2012-11-12",62.740002,63.130001,62.580002,62.619999,217300,52.631565
"2012-11-13",62.639999,63.119999,62.07,62.16,295200,52.244942
"2012-11-14",62.200001,62.790001,61.5,61.630001,521300,51.799492
"2012-11-15",61.689999,62.290001,61.490002,61.759998,348300,51.908737
"2012-11-16",61.73,62.380001,60.779999,61.57,446100,51.749058
"2012-11-19",62.27,63.290001,61.450001,63.27,326900,53.177898
"2012-11-20",62.98,63.599998,62.709999,63.330002,231700,53.228317
"2012-11-21",63.34,63.93,63.27,63.709999,235400,53.54771
"2012-11-23",64.029999,64.400002,63.400002,64.330002,119200,54.068813
"2012-11-26",63.759998,64.739998,63.630001,64.199997,312900,53.959541
"2012-11-27",64.209999,64.68,63.779999,64.169998,273800,53.934322
"2012-11-28",63.900002,64.620003,63.290001,64.57,348700,54.270519
"2012-11-29",64.900002,65.089996,64.339996,64.949997,353500,54.589901
"2012-11-30",64.779999,65.110001,64.559998,65.029999,490800,54.657154
"2012-12-03",65.550003,65.709999,64.300003,64.519997,298800,54.228497
"2012-12-04",64.480003,64.889999,64.260002,64.629997,265900,54.320957
"2012-12-05",64.589996,64.839996,64.040001,64.43,238800,54.15284
"2012-12-06",64.449997,64.709999,64.190002,64.690002,162000,54.37138
"2012-12-07",65,65,64.410004,64.739998,222500,54.41341
"2012-12-10",64.620003,65.599998,64.519997,65.379997,462900,54.951324
"2012-12-11",65.660004,65.860001,65.019997,65.169998,416400,54.774815
"2012-12-12",65.720001,66.209999,65.239998,65.459999,564000,55.018555
"2012-12-13",65.379997,65.620003,65.220001,65.43,323300,54.993355
"2012-12-14",65.480003,65.910004,65.419998,65.690002,297000,55.21188
"2012-12-17",65.790001,66.400002,65.660004,66.379997,251500,55.791813
"2012-12-18",66.360001,67.190002,66.089996,67.059998,369300,56.363354
"2012-12-19",66.860001,67.25,66.800003,66.830002,382800,56.45628
"2012-12-20",66.830002,67.419998,66.470001,67.410004,328300,56.946251
"2012-12-21",67,67.360001,66.760002,66.949997,1058400,56.55764
"2012-12-24",66.529999,67.480003,66.059998,67.300003,134200,56.853317
"2012-12-26",67.540001,67.790001,66.989998,67.339996,309400,56.8871
"2012-12-27",67.300003,67.440002,66.139999,67.059998,289700,56.65057
"2012-12-28",66.620003,67.110001,65.910004,65.959999,325000,55.721321
"2012-12-31",65.910004,66.610001,65.739998,66.540001,475900,56.2113
"2013-01-02",67.57,68.57,67.5,68.349998,310800,57.74033
"2013-01-03",68.489998,68.760002,67.839996,68.099998,270700,57.52914
"2013-01-04",68.199997,68.459999,67.980003,68.230003,358300,57.638954
"2013-01-07",67.879997,68.269997,67.82,68.139999,304600,57.562931
"2013-01-08",67.970001,68.209999,67.730003,68.190002,455700,57.605164
"2013-01-09",68.410004,69.029999,68.410004,68.639999,351800,57.985306
"2013-01-10",69.029999,69.139999,68.260002,69.050003,287800,58.331665
"2013-01-11",69.349998,69.349998,68.550003,68.629997,310900,57.976856
"2013-01-14",68.540001,69.080002,68.239998,69.040001,201500,58.323235
"2013-01-15",68.650002,69.57,68.620003,69.440002,286800,58.661133
"2013-01-16",68.910004,69.540001,68.910004,69.459999,250100,58.678028
"2013-01-17",69.82,70.269997,69.68,70.080002,238300,59.201805
"2013-01-18",69.879997,70.580002,69.610001,70.559998,344200,59.607281
"2013-01-22",70.699997,70.879997,69.839996,70.809998,337400,59.818474
"2013-01-23",70.650002,70.82,70.160004,70.290001,328300,59.3792
"2013-01-24",70.690002,71.209999,70.260002,70.769997,433700,59.784691
"2013-01-25",71.050003,71.370003,70.879997,71.129997,278200,60.088814
"2013-01-28",71.279999,71.279999,70.309998,70.510002,312200,59.565044
"2013-01-29",70.529999,71.190002,70.510002,71.169998,314100,60.122601
"2013-01-30",71.169998,71.419998,70.720001,70.839996,374700,59.843796
"2013-01-31",70.760002,71.199997,70.400002,70.43,1022200,59.497459
"2013-02-01",70.760002,71.389999,70.32,71.32,398700,60.249313
"2013-02-04",71.019997,71.220001,70.540001,70.730003,317900,59.750885
"2013-02-05",71.410004,71.959999,70.660004,71.169998,496000,60.122601
"2013-02-06",70.790001,71.440002,70.790001,71.190002,411800,60.139477
