"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2011-03-31",18.627501,18.73,18.4,18.405001,18555200,17.136723
"2011-04-01",18.497499,18.6175,18.315001,18.555,17270000,17.276382
"2011-04-04",18.547501,18.8125,18.51,18.809999,15529200,17.513813
"2011-04-05",18.795,18.98,18.700001,18.905001,18078800,17.602262
"2011-04-06",18.9275,19,18.8825,19,18132000,17.69072
"2011-04-07",19.0275,19.137501,18.93,19.102501,22079200,17.786152
"2011-04-08",19.205,19.43,19.08,19.18,23977200,17.858318
"2011-04-11",19.200001,19.440001,19.174999,19.4275,19004400,18.088762
"2011-04-12",19.23,19.395,19.192499,19.2575,20512000,17.93047
"2011-04-13",19.34,19.497499,19.299999,19.375,18258400,18.039881
"2011-04-14",19.285,19.315001,19.040001,19.077499,18609200,17.762878
"2011-04-15",19.1175,19.25,19.014999,19.1175,20256000,17.800125
"2011-04-18",18.895,19.075001,18.862499,18.92,15332000,17.616232
"2011-04-19",18.872499,18.995001,18.790001,18.98,14261200,17.672094
"2011-04-20",19.1525,19.477501,19.102501,19.342501,14838400,18.009617
"2011-04-21",19.34,19.495001,19.262501,19.442499,10989600,18.10273
"2011-04-25",19.442499,19.467501,19.325001,19.440001,7126400,18.100405
"2011-04-26",19.450001,19.75,19.35,19.692499,15200000,18.335497
"2011-04-27",19.700001,19.7425,19.4725,19.7225,8982400,18.363436
"2011-04-28",19.709999,19.709999,19.387501,19.415001,11416000,18.077127
"2011-04-29",19.424999,19.612499,19.389999,19.530001,10877600,18.1842
"2011-05-02",19.615,19.9175,19.615,19.785,13503600,18.421625
"2011-05-03",19.907499,20.0425,19.825001,20,18944800,18.621809
"2011-05-04",19.9625,20.0375,19.762501,19.942499,17334400,18.568272
"2011-05-05",19.775,19.842501,19.549999,19.674999,20991600,18.319201
"2011-05-06",19.625,19.965,19.567499,19.852501,29754400,18.484478
"2011-05-09",19.782499,19.995001,19.76,19.965,19093200,18.589224
"2011-05-10",19.9925,20.174999,19.93,20.0875,19706400,18.703279
"2011-05-11",20.055,20.0625,19.737499,19.834999,17667600,18.468174
"2011-05-12",19.772499,20.012501,19.77,19.9825,25078400,18.605518
"2011-05-13",20,20.045,19.924999,19.977501,21474000,18.600861
"2011-05-16",19.7875,20.325001,19.780001,19.985001,18763200,18.60784
"2011-05-17",19.950001,20.200001,19.9375,20.15,22112000,18.761473
"2011-05-18",20.1075,20.1075,19.870001,20.002501,20127200,18.658863
"2011-05-19",20.032499,20.035,19.852501,19.91,14941200,18.572569
"2011-05-20",19.834999,19.959999,19.557501,19.557501,17216000,18.243759
"2011-05-23",19.272499,19.434999,19.15,19.23,18258400,17.938251
"2011-05-24",19.252501,19.445,19.165001,19.4,14828400,18.096834
"2011-05-25",19.24,19.77,19.1525,19.6875,18002800,18.365015
"2011-05-26",19.6425,19.84,19.41,19.8225,21110800,18.490952
"2011-05-27",19.665001,19.959999,19.592501,19.950001,15344800,18.609888
