"dates","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2012-02-28",305.305298,310.19519,304.144135,309.504517,5689505,309.504517
"2012-02-29",309.609619,313.113098,308.058044,309.434448,6267526,309.434448
"2012-03-01",311.441437,313.163177,309.384369,311.511505,4470925,311.511505
"2012-03-02",311.31131,312.312317,310.470459,310.935944,3143453,310.935944
"2012-03-05",310.525513,311.556549,305.996002,307.432434,3183413,307.432434
"2012-03-06",304.329315,304.709717,297.217224,302.782776,6342451,302.782776
"2012-03-07",304.829834,305.900909,303.233246,303.703705,2526471,303.703705
"2012-03-08",305.325317,306.056061,303.478485,303.873871,2688309,303.873871
"2012-03-09",304.279266,306.256256,300.300293,300.425415,5335859,300.425415
"2012-03-12",300.300293,303.803802,299.929932,302.877869,3334662,302.877869
"2012-03-13",304.679688,309.234222,303.078064,309.199188,4487108,309.199188
"2012-03-14",307.8078,311.701691,307.037048,308.303314,5867926,308.303314
"2012-03-15",308.608612,312.062073,307.722717,310.875885,4865330,310.875885
"2012-03-16",310.755768,313.26828,310.335327,312.832825,6094899,312.832825
"2012-03-19",311.871887,318.953949,310.930939,317.307312,4341254,317.307312
"2012-03-20",315.775787,318.348358,313.948944,317.062073,3077919,317.062073
"2012-03-21",317.62262,324.019012,316.571564,320.310303,4934261,320.310303
"2012-03-22",319.56958,324.724731,315.815826,323.348358,4815580,323.348358
"2012-03-23",323.623627,324.574585,320.770782,321.616608,3876520,321.616608
"2012-03-26",322.822815,325.070068,320.090088,324.98999,3634762,324.98999
"2012-03-27",323.838837,327.077087,322.722717,323.833832,4010386,323.833832
"2012-03-28",326.341339,329.624634,325.865875,328.208221,5072722,328.208221
"2012-03-29",327.047058,328.623627,322.472473,324.529541,3844751,324.529541
"2012-03-30",326.201202,327.072083,320.820831,320.940948,4616779,320.940948
"2012-04-02",320.705719,324.074066,317.737732,323.783783,4563832,323.783783
"2012-04-03",323.028015,324.299286,319.639648,321.631622,4085710,321.631622
"2012-04-04",319.544556,319.819824,315.865875,317.892883,3251945,317.892883
"2012-04-05",316.436432,318.533539,314.599609,316.476471,4632763,316.476471
"2012-04-09",314.554565,317.982971,312.957947,315.735748,4361035,315.735748
"2012-04-10",317.077087,317.567566,312.587585,313.743744,4959036,313.743744
"2012-04-11",317.302307,318.318329,315.965973,318.298309,4393602,318.298309
"2012-04-12",321.49649,326.896912,320.450439,325.830841,11501687,325.830841
"2012-04-13",324.099091,324.819824,312.082092,312.61261,16302281,312.61261
"2012-04-16",311.811798,312.217224,301.131134,303.338348,11372816,303.338348
"2012-04-17",304.584595,309.154144,303.808807,305.090088,6041752,305.090088
"2012-04-18",304.329315,306.706696,301.706696,304.029022,5333661,304.029022
"2012-04-19",303.148163,308.438446,299.799805,299.949951,6582611,299.949951
"2012-04-20",302.427429,304.729736,298.213226,298.328339,6110683,298.328339
"2012-04-23",296.746735,299.524536,295.395386,299.099091,4391204,299.099091
"2012-04-24",299.419434,303.618622,298.958954,300.935944,3854342,300.935944
"2012-04-25",302.302307,305.980988,301.74173,305.165161,3638558,305.165161
"2012-04-26",305.760773,309.309296,305.155151,308.04303,4180815,308.04303
"2012-04-27",307.81781,308.67868,305.605591,307.797791,3269527,307.797791
"2012-04-30",306.801788,308.348358,300.605591,302.727722,4809785,302.727722
"2012-05-01",302.197205,306.10611,300.395386,302.517517,4000595,302.517517
"2012-05-02",300.900909,304.359344,300.605591,303.933929,3219777,303.933929
"2012-05-03",305.115112,307.722717,304.779785,305.815826,3732264,305.815826
"2012-05-04",303.263275,304.249237,298.703705,298.783783,4410385,298.783783
"2012-05-07",297.797791,305.590576,297.797791,304.079071,3985011,304.079071
"2012-05-08",303.068054,308.758759,300.650665,306.701691,5349245,306.701691
"2012-05-09",303.713715,308.498505,301.206207,304.879883,4652942,304.879883
"2012-05-10",306.786774,308.403412,305.42041,307.137146,3068728,307.137146
"2012-05-11",305.480469,307.582581,302.687683,302.917908,4194601,302.917908
"2012-05-14",300.690704,304.554565,300.590576,302.302307,3645151,302.302307
"2012-05-15",302.977966,307.8078,302.177185,305.86087,4199996,305.86087
"2012-05-16",309.289276,315.365356,308.27829,314.779785,9660530,314.779785
"2012-05-17",317.232239,319.244232,310.925934,311.836823,6700892,311.836823
"2012-05-18",312.862854,316.52652,298.648651,300.500488,11935053,300.500488
"2012-05-21",300.555542,308.153168,300.300293,307.362366,6144649,307.362366
"2012-05-22",307.027039,307.212219,298.298309,300.700714,6097696,300.700714
"2012-05-23",301.126129,305.105103,298.858856,305.035034,6349844,305.035034
"2012-05-24",304.884888,306.266266,299.734741,302.132141,3778817,302.132141
"2012-05-25",300.800812,301.166168,294.434448,296.061066,7156636,296.061066
"2012-05-29",298.203217,299.864868,294.454468,297.467468,5206189,297.467468
"2012-05-30",294.374359,296.246246,292.057068,294.409424,3809587,294.409424
"2012-05-31",294.654663,295.295288,289.789795,290.720734,5930663,290.720734
"2012-06-01",286.181183,286.611603,284.459473,285.775787,6109684,285.775787
"2012-06-04",285.395386,290.535522,285.290283,289.584595,4860535,289.584595
"2012-06-05",288.013,289.35434,283.518524,285.490479,4675120,285.490479
"2012-06-06",288.528534,291.276276,287.092102,290.575562,4187408,290.575562
"2012-06-07",294.094086,294.239227,288.91391,289.404419,3513483,289.404419
"2012-06-08",288.213226,290.790802,287.577576,290.515503,2817979,290.515503
"2012-06-11",292.3974,292.952942,283.628632,284.534546,5316878,284.534546
"2012-06-12",285.170166,285.435425,279.56958,282.832825,6441952,282.832825
"2012-06-13",281.141144,283.783783,279.619629,280.825836,3904492,280.825836
"2012-06-14",280.930939,282.81781,278.538544,279.80481,4685110,279.80481
"2012-06-15",280.450439,282.542542,278.823822,282.537537,5996398,282.537537
"2012-06-18",281.591583,287.392395,279.904907,285.710724,4988806,285.710724
"2012-06-19",287.082092,292.432434,286.846832,291.056061,4148248,291.056061
"2012-06-20",290.19519,290.290283,287.042053,289.044037,4688707,289.044037
"2012-06-21",290.210205,290.210205,282.147156,282.887878,4018577,282.887878
"2012-06-22",284.284271,286.026031,283.193207,286.026031,4451344,286.026031
"2012-06-25",283.948944,284.329315,278.953949,280.630646,3160037,280.630646
"2012-06-26",281.661652,283.583588,280.02002,282.62262,2697700,282.62262
"2012-06-27",284.134125,287.282288,283.293304,284.934937,3381215,284.934937
"2012-06-28",283.233246,283.398407,278.883881,282.437439,3837958,282.437439
"2012-06-29",287.767761,290.355347,286.386383,290.325317,5033961,290.325317
"2012-07-02",291.201202,291.791779,288.538544,290.525513,3307689,290.525513
"2012-07-03",290.295288,294.499512,289.289276,294.209198,2376621,294.209198
"2012-07-05",294.674683,300.330322,294.564575,298.25827,4687108,298.25827
"2012-07-06",296.521515,297.057068,291.701691,293.283295,4319276,293.283295
"2012-07-09",292.767761,294.594604,290.915924,293.298309,3426770,293.298309
"2012-07-10",295.390381,296.511505,289.659668,291.141144,3842354,291.141144
"2012-07-11",288.438446,289.214203,282.752747,285.88089,6991601,285.88089
"2012-07-12",283.843842,286.251251,281.326324,285.525513,4614980,285.525513
"2012-07-13",286.361359,289.864868,284.55957,288.548553,3948048,288.548553
"2012-07-16",288.47348,289.884888,286.176178,287.747742,2922275,287.747742
"2012-07-17",289.504517,290.625641,284.484497,288.653656,3356840,288.653656
"2012-07-18",288.778778,292.137146,288.353363,290.670685,3093304,290.670685
"2012-07-19",293.363373,299.539551,293.293304,296.826813,9340051,296.826813
"2012-07-20",304.684692,306.776764,299.389374,305.715729,12914473,305.715729
"2012-07-23",300.540527,309.484497,299.424438,308.063049,7116277,308.063049
"2012-07-24",307.8078,309.274261,302.472473,304.089081,4014781,304.089081
"2012-07-25",304.464478,306.997009,302.987976,304.299286,3642354,304.299286
"2012-07-26",307.8078,308.743744,305.320313,306.987,3367030,306.987
"2012-07-27",309.754761,317.81781,309.059052,317.797791,7092301,317.797791
"2012-07-30",318.343353,321.621613,315.065063,316.466461,4369027,316.466461
"2012-07-31",314.444458,318.568573,314.424438,316.801788,3727469,316.801788
"2012-08-01",318.968964,320.075073,316.006012,316.656647,3685511,316.656647
"2012-08-02",313.068054,319.33432,312.017029,314.689697,3951445,314.689697
"2012-08-03",320.320313,322.18219,318.388397,320.985992,3790406,320.985992
"2012-08-06",320.125122,325.015015,319.929932,321.73172,3561235,321.73172
"2012-08-07",321.216217,322.452454,318.553558,320.590576,3959636,320.590576
