"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2011-05-17",26.613966,26.77207,26.35046,26.534914,3755190,17.189425
"2011-05-18",26.561266,27.088274,26.455864,27.035572,3250000,17.51375
"2011-05-19",27.088274,27.246378,26.719368,27.035572,3792609,17.51375
"2011-05-20",26.903822,27.061924,26.613966,26.640316,3836176,17.257704
"2011-05-23",26.35046,26.534914,26.245058,26.27141,3996894,17.018721
"2011-05-24",26.429514,26.429514,25.612648,25.955204,5517588,16.813881
"2011-05-25",25.823452,26.007904,25.533598,25.902502,5525596,16.779741
"2011-05-26",25.7971,26.429514,25.770752,26.29776,3663731,17.035791
"2011-05-27",26.403162,26.77207,26.27141,26.35046,2508799,17.069933
"2011-05-31",26.640316,26.903822,26.482212,26.903822,3559444,17.428402
"2011-06-01",26.824768,27.061924,26.21871,26.35046,6484782,17.069933
"2011-06-02",26.35046,26.613966,26.166008,26.482212,4841016,17.155285
"2011-06-03",26.113308,26.508564,26.034256,26.35046,5954735,17.069933
"2011-06-06",26.29776,26.376812,25.6917,25.71805,3790104,16.660254
"2011-06-07",25.823452,25.981556,25.296444,25.296444,3962701,16.38714
"2011-06-08",25.16469,25.243742,24.716734,24.927536,4619540,16.148153
"2011-06-09",24.901186,25.428196,24.743082,25.191042,3071104,16.318855
"2011-06-10",25.05929,25.16469,24.58498,24.769432,3988849,16.045732
"2011-06-13",24.901186,25.770752,24.901186,25.428196,7885820,16.472486
"2011-06-14",25.71805,26.245058,25.639,25.902502,3496220,16.779741
"2011-06-15",25.744402,25.849802,25.16469,25.401846,4136816,16.455416
"2011-06-16",25.559946,25.770752,25.243742,25.612648,3904789,16.59197
"2011-06-17",25.902502,26.113308,25.744402,25.955204,4802914,16.813881
"2011-06-20",25.902502,26.561266,25.823452,26.007904,5476982,16.848021
"2011-06-21",26.166008,26.429514,26.113308,26.29776,3958944,17.035791
