"dates","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2013-01-22",62.599998,62.700001,61.459999,61.470001,3583900,44.741768
"2013-01-23",61.25,62.16,61.16,62.110001,4122200,45.207592
"2013-01-24",62.259998,62.82,62.209999,62.52,2664000,45.50602
"2013-01-25",62.91,62.970001,62.18,62.75,2332800,45.673435
"2013-01-28",62.669998,62.689999,60.860001,61.240002,5244700,44.574352
"2013-01-29",61.5,63.549999,61.5,63.259998,5482900,46.04464
"2013-01-30",63.220001,63.549999,62.759998,63.02,2485300,45.869957
"2013-01-31",62.560001,64.199997,62.200001,63.419998,4498800,46.161102
"2013-02-01",61.900002,63.220001,60.32,61.369999,8406600,44.668987
"2013-02-04",61.139999,62.43,61.040001,61.09,4986900,44.465187
"2013-02-05",61.709999,62.27,61.220001,61.25,3935300,44.581635
"2013-02-06",61.290001,61.490002,60.459999,61.060001,3376400,44.44334
"2013-02-07",61.200001,61.75,60.369999,61.419998,2842100,44.705376
"2013-02-08",61.560001,62.23,60.939999,62.110001,3317300,45.207592
"2013-02-11",61.82,61.82,60.290001,60.540001,3176500,44.064846
"2013-02-12",60.619999,60.889999,60.119999,60.509998,2779700,44.043026
"2013-02-13",61.709999,63.299999,61.599998,62.299999,3862200,45.345898
"2013-02-14",61.57,61.900002,61.060001,61.169998,9634700,44.523418
"2013-02-15",61.189999,61.290001,59.880001,60.400002,7182900,43.962959
"2013-02-19",60.84,61.18,60.380001,61.18,3519300,44.530689
"2013-02-20",61.150002,61.400002,60.169998,60.259998,8481500,43.86105
"2013-02-21",59.040001,59.310001,56.91,57.68,1058600,42.263706
"2013-02-22",58.299999,59.32,57.970001,59.32,3972500,43.465374
"2013-02-25",59.380001,59.68,56.970001,56.98,4838100,41.750797
"2013-02-26",57.459999,57.720001,55.939999,56.84,7557200,41.648216
"2013-02-27",57.009998,58.439999,56.5,58.200001,5336900,42.644726
"2013-02-28",58.380001,59.459999,58.169998,58.619999,3648900,42.952469
"2013-03-01",58.189999,60.639999,57.43,59.689999,5650000,43.736485
"2013-03-04",59.470001,60.439999,58.75,60.439999,3376500,44.286034
"2013-03-05",60.540001,61.419998,60.529999,60.77,4684700,44.527847
"2013-03-06",61.900002,62.790001,61.41,62.52,4936700,45.810093
"2013-03-07",62.720001,62.73,62.080002,62.130001,2085300,45.524353
"2013-03-08",62.790001,63.849998,62.59,63.599998,3132600,46.601456
"2013-03-11",63.32,63.830002,62.200001,63.73,3089700,46.696709
"2013-03-12",63.77,64.400002,63.619999,64.080002,4514200,46.953163
"2013-03-13",64.089996,64.519997,63.189999,63.299999,4699200,46.381638
"2013-03-14",63.939999,65.349998,63.860001,64.769997,4700700,47.458744
"2013-03-15",64.440002,65.690002,63.869999,64.010002,5085600,46.901878
"2013-03-18",63.389999,64.059998,63.080002,63.75,3358000,46.711365
"2013-03-19",63.73,64.459999,62.849998,64.010002,5836900,46.901878
"2013-03-20",64.519997,65.669998,64.459999,65.419998,4508000,47.935013
"2013-03-21",65.010002,65.690002,64.230003,64.410004,3722900,47.194962
"2013-03-22",64.660004,64.93,64.25,64.5,2185500,47.260925
"2013-03-25",64.910004,65.139999,63.189999,63.349998,3528700,46.41827
"2013-03-26",63.740002,64,63.360001,63.450001,3756100,46.491547
"2013-03-27",63.009998,63.52,62.57,63.369999,2227300,46.432926
"2013-03-28",63.560001,64.150002,63.18,63.290001,2877400,46.374302
