"dates","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2011-08-04",27.39645,27.485207,25.473373,25.473373,9902724,17.600836
"2011-08-05",25.986193,26.262327,24.358974,25.197239,13566205,17.410032
"2011-08-08",24.19132,24.506903,22.692308,22.909269,11184116,15.829156
"2011-08-09",23.698225,24.487179,22.583826,24.467457,17751084,16.905796
"2011-08-10",24.378698,25.059172,23.717949,23.836292,11312995,16.469688
"2011-08-11",23.816568,25.56213,23.550297,25.177515,8722225,17.587791
"2011-08-12",25.641026,25.680473,24.970413,25.197239,5085210,17.601559
"2011-08-15",25.552267,25.828402,25.384615,25.828402,4115420,18.042459
"2011-08-16",25.571993,26.02564,25.325443,25.67061,3991611,17.932236
"2011-08-17",25.719921,26.084812,25.522682,25.759369,3048895,17.994242
"2011-08-18",24.881657,24.901381,23.589745,23.727812,8879294,16.575089
"2011-08-19",23.362919,23.915188,23.175543,23.343195,9255386,16.306417
"2011-08-22",23.934912,24.171598,22.968443,23.06706,6484124,16.113523
"2011-08-23",23.254438,24.250492,23.145958,24.250492,5697767,16.94021
"2011-08-24",24.230768,25.295858,24.122288,25.226824,5113196,17.622229
"2011-08-25",25.404339,25.631165,24.635109,24.723866,4024262,17.270887
"2011-08-26",24.506903,25.463511,24.033531,25.325443,3098784,17.691122
"2011-08-29",25.710058,26.400394,25.67061,26.400394,3749164,18.442026
"2011-08-30",26.222879,26.775148,26.015779,26.518738,4739132,18.5247
"2011-08-31",26.676529,27.169624,26.449703,26.775148,5271380,18.703815
"2011-09-01",26.715977,27.031557,25.907297,25.986193,4253324,18.152685
"2011-09-02",25.216963,25.552267,24.980276,25.138067,4374903,17.560228
"2011-09-06",24.122288,27.485207,24.122288,27.386587,16187395,19.130936
"2011-09-07",27.771202,27.919132,27.386587,27.652861,7969533,19.316944
"2011-09-08",27.39645,27.60355,26.508877,26.617357,7116658,18.593584
"2011-09-09",26.222879,26.429979,25.581854,25.80868,5867511,18.028687
"2011-09-12",25.285995,25.739645,24.911243,25.532543,4389403,17.835791
"2011-09-13",25.660749,26.646942,25.394478,26.37081,4873791,18.421364
