"dates","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2016-09-06",38.368,38.456001,38.007999,38.216,1532000,35.514973
"2016-09-07",37.959999,38.183998,37.504002,37.543999,1389375,34.890469
"2016-09-08",37.568001,37.712002,37.312,37.431999,1671250,34.786381
"2016-09-09",37.287998,37.383999,36.464001,36.464001,1855000,33.886806
"2016-09-12",36.192001,37.248001,36.096001,37.152,2177875,34.526176
"2016-09-13",37.015999,37.216,36.400002,36.408001,2538625,33.834759
"2016-09-14",36.52,36.68,36.192001,36.248001,1519875,33.686077
"2016-09-15",36.192001,36.664001,36.175999,36.495998,1720125,33.916538
"2016-09-16",36.208,36.992001,36.16,36.888,5733500,34.28083
"2016-09-19",37.192001,37.464001,37.088001,37.127998,2143250,34.503876
"2016-09-20",37.256001,37.624001,37.248001,37.248001,1187125,34.615398
"2016-09-21",37.240002,37.560001,37.015999,37.495998,894375,34.845856
"2016-09-22",37.832001,38.112,37.608002,38.048,1089500,35.358849
"2016-09-23",38.056,38.256001,37.903999,37.903999,1337500,35.225025
"2016-09-26",37.672001,37.919998,37.487999,37.568001,1207500,34.912781
"2016-09-27",37.48,37.807999,37.48,37.728001,1335875,35.06147
"2016-09-28",37.911999,37.911999,37.528,37.751999,912875,35.083775
"2016-09-29",37.599998,37.992001,37.591999,37.664001,1288000,35.001995
"2016-09-30",37.784,38.144001,37.647999,37.952,2278250,35.269646
"2016-10-03",37.880001,38.023998,37.672001,37.736,1398625,35.068905
"2016-10-04",37.568001,37.84,37.344002,37.439999,2554750,34.793819
"2016-10-05",37.647999,37.751999,37.136002,37.240002,3773625,34.607967
"2016-10-06",37.015999,37.400002,37.015999,37.335999,1195125,34.697166
"2016-10-07",37.391998,37.591999,37.056,37.104,1310250,34.481567
"2016-10-10",37.271999,37.472,37.152,37.416,1495750,34.771523
"2016-10-11",37.296001,37.52,36.944,37.104,1374875,34.481567
"2016-10-12",37.056,37.056,36.639999,36.728001,1180750,34.132149
"2016-10-13",36.568001,36.936001,36.504002,36.712002,1254125,34.117271
"2016-10-14",36.799999,36.824001,36.216,36.279999,983250,33.715813
"2016-10-17",36.175999,36.312,35.807999,35.992001,930875,33.448162
"2016-10-18",36.32,36.568001,36.183998,36.304001,1011375,33.738117
"2016-10-19",36.279999,36.360001,36.015999,36.104,855125,33.552246
"2016-10-20",36.032001,36.16,35.68,35.728001,710750,33.202824
"2016-10-21",35.672001,36.032001,35.448002,36,1007250,33.455601
"2016-10-24",36.032001,36.439999,36.032001,36.296001,921875,33.730679
