"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2011-05-27",47.058823,47.550484,47.058823,47.524143,2234832,37.343994
"2011-05-31",48.077263,48.393326,47.752415,48.384548,4867630,38.020081
"2011-06-01",48.182617,48.375767,47.778751,47.778751,5077434,37.544067
"2011-06-02",47.761192,47.910446,47.366112,47.64706,3031790,37.440582
"2011-06-03",47.13784,47.225636,46.584724,46.777874,3668833,36.75758
"2011-06-06",46.751537,46.96225,46.461807,46.663738,2906728,36.667892
"2011-06-07",46.751537,47.006145,46.426689,46.523266,3755625,36.55751
"2011-06-08",46.259876,46.338894,45.891132,46.066727,3460396,36.446373
"2011-06-09",46.180859,46.584724,45.908691,46.286217,2371284,36.620033
"2011-06-10",46.145741,46.224758,45.601406,45.601406,3984336,36.078236
"2011-06-13",45.636524,46.391571,45.452152,46.224758,3596051,36.571396
"2011-06-14",46.575943,46.663738,46.198421,46.251099,3745146,36.592251
"2011-06-15",45.829674,46.022827,45.223881,45.355576,3544226,35.883728
"2011-06-16",45.618965,45.618965,45.083405,45.48727,3162661,35.987934
"2011-06-17",46.119404,46.215981,45.294117,45.364353,4927542,35.890675
"2011-06-20",45.338017,46.286217,45.02195,46.005268,2821303,36.397755
"2011-06-21",46.101845,46.382793,45.724319,46.268658,2426867,36.606129
