"dates","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2014-12-03",100.040001,101.459999,99.959999,100.18,6930700,82.681183
"2014-12-04",99.690002,100.870003,99.510002,99.669998,3390100,82.260269
"2014-12-05",99.809998,99.959999,98.709999,98.779999,3605000,81.525719
"2014-12-08",98.660004,98.760002,95.199997,95.25,7192100,78.612312
"2014-12-09",94.169998,96.169998,93.800003,95.449997,6562900,78.777374
"2014-12-10",94.910004,95.019997,92.75,93.019997,6749600,76.771828
"2014-12-11",93.68,94.290001,92.529999,92.690002,4664900,76.499496
"2014-12-12",92,92,89.959999,90.5,10327200,74.692017
"2014-12-15",91.25,91.290001,89.389999,89.75,6924100,74.073029
"2014-12-16",89.230003,92.25,89.150002,89.339996,7649500,73.73465
"2014-12-17",89.400002,90.139999,88.029999,89.75,8671600,74.073029
"2014-12-18",91.889999,91.889999,90.550003,91.690002,8344400,75.674171
"2014-12-19",91.580002,91.980003,90.879997,91.709999,9689200,75.690651
"2014-12-22",92.459999,92.809998,91.849998,92.32,4577200,76.194122
"2014-12-23",92.989998,93.940002,92.650002,93.5,3554200,77.167992
"2014-12-24",93.639999,93.980003,93.269997,93.720001,1654200,77.349564
"2014-12-26",93.949997,94.660004,93.720001,94.230003,3127800,77.770493
"2014-12-29",94.199997,94.279999,93.589996,93.709999,2390500,77.341331
"2014-12-30",93.599998,93.629997,92.510002,92.589996,3197400,76.416946
"2014-12-31",92.889999,93.57,91.449997,91.529999,3251100,75.542114
"2015-01-02",91.769997,92.370003,90.660004,91.879997,3767900,75.830963
"2015-01-05",90.349998,90.419998,86.599998,87.029999,11301400,71.828133
"2015-01-06",87.279999,87.68,85.169998,86.470001,8660600,71.365959
"2015-01-07",87.370003,88.139999,86.419998,87.809998,6511100,72.47187
"2015-01-08",89.18,89.279999,87.839996,88.709999,7617800,73.214668
"2015-01-09",88.760002,88.889999,87.019997,87.650002,4857100,72.339828
"2015-01-12",87.730003,87.769997,86.07,86.889999,4351600,71.712601
"2015-01-13",87.68,87.900002,85.199997,86.370003,5078100,71.283432
"2015-01-14",84.889999,86.220001,84.269997,86.07,10366700,71.035828
"2015-01-15",86.029999,86.169998,84.300003,84.32,6683900,70.162102
"2015-01-16",84.239998,84.32,83.050003,83.860001,10424800,69.779358
"2015-01-20",84.419998,84.5,83.190002,83.970001,5937300,69.870888
"2015-01-21",83.589996,85.400002,83.589996,85.370003,6613100,71.035828
"2015-01-22",86.050003,87.360001,85.43,86.82,5567800,72.242363
"2015-01-23",86.790001,87,85.199997,85.610001,5027500,71.235527
"2015-01-26",85.360001,86.260002,84.900002,86.029999,8140500,71.585007
"2015-01-27",79.739998,81.349998,79.099998,79.849998,27489500,66.442673
"2015-01-28",80.400002,81.199997,79.959999,80.010002,14269300,66.57579
"2015-01-29",79.910004,80.18,78.809998,80,9157000,66.567497
"2015-01-30",79.510002,80.82,79.419998,79.970001,8150700,66.542526
"2015-02-02",80.080002,80.879997,79.489998,80.839996,7149000,67.266449
"2015-02-03",81.220001,84.110001,81.150002,83.919998,10895300,69.829292
"2015-02-04",82.779999,83.32,81.660004,81.949997,8806500,68.190063
"2015-02-05",82.400002,83.629997,81.870003,83.57,6640200,69.538055
"2015-02-06",83.599998,84.139999,82.800003,83.209999,5581500,69.238503
"2015-02-09",83.050003,84.870003,82.949997,84.669998,7693800,70.453369
"2015-02-10",85,85,83.459999,83.900002,6569100,69.81266
"2015-02-11",83.559998,83.669998,82.239998,83.410004,5722600,69.404922
"2015-02-12",84.080002,84.25,83.309998,83.529999,4623000,69.504784
