"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2014-04-17",83.970001,85.190002,83.739998,85.110001,4798000,73.951569
"2014-04-21",85,85.82,84.75,85.800003,3190400,74.55114
"2014-04-22",85.379997,86.400002,84.779999,86.199997,3000900,74.898674
"2014-04-23",86.139999,88.32,86.099998,87.580002,5507200,76.09774
"2014-04-24",87.790001,88.389999,87.379997,87.959999,2631400,76.427956
"2014-04-25",87.459999,87.870003,86.43,87.279999,3530400,75.837097
"2014-04-28",87.370003,87.550003,86.089996,86.809998,2862000,75.428688
"2014-04-29",87.5,88.690002,87.470001,87.830002,2486600,76.31498
"2014-04-30",87.25,87.440002,86.449997,86.800003,3681300,75.420021
"2014-05-01",86.769997,87.230003,86.360001,87.040001,3636200,75.62854
"2014-05-02",87,87.82,86.769997,86.959999,1834000,75.559044
"2014-05-05",86.529999,87.25,86.330002,86.959999,2573300,75.559044
"2014-05-06",87.019997,87.589996,86.419998,86.419998,3547500,75.089836
"2014-05-07",87.050003,88.129997,86.57,87.760002,3872400,76.25415
"2014-05-08",88.580002,89.970001,86.830002,88.029999,3996400,76.488747
"2014-05-09",88.5,89.589996,87.839996,88.889999,4973300,77.236008
"2014-05-12",89.199997,90.099998,88.900002,90.040001,3362000,78.235245
"2014-05-13",90.309998,90.690002,89.809998,90.019997,2214000,78.21785
"2014-05-14",90.050003,90.32,89.790001,89.870003,2701000,78.087532
"2014-05-15",89.860001,89.860001,88.18,88.919998,3450500,77.26207
"2014-05-16",88.839996,89.150002,88,88.779999,4009900,77.140434
"2014-05-19",88.339996,89.849998,88.209999,89.330002,3648800,77.618317
"2014-05-20",89,90.300003,88.949997,89.730003,2314200,77.965866
"2014-05-21",90.040001,90.379997,89.440002,90.290001,1740100,78.452461
"2014-05-22",90.260002,90.800003,89.860001,90.339996,2098500,78.495903
"2014-05-23",90.330002,90.610001,90.059998,90.18,3204100,78.35688
"2014-05-27",90.360001,90.790001,89.769997,90.360001,1929600,78.513283
"2014-05-28",90.620003,91.959999,90.620003,91.760002,4467200,79.729736
"2014-05-29",91.949997,93.239998,91.720001,93.059998,4409600,80.859276
"2014-05-30",92.589996,93.400002,92.220001,93.220001,3762300,80.998314
"2014-06-02",93.089996,93.330002,92.43,92.639999,1865500,80.494347
"2014-06-03",92.190002,92.519997,91.529999,92,3466400,79.938271
"2014-06-04",91.93,92.860001,91.93,92.5,2189900,80.372711
"2014-06-05",92.68,93.360001,92.309998,93.169998,1914200,80.954865
"2014-06-06",92.849998,94.790001,92.75,94.309998,4109500,81.945389
"2014-06-09",94.290001,95.610001,93.889999,94.650002,4058700,82.240814
"2014-06-10",94.459999,95.169998,94.160004,95.050003,2533300,82.588394
"2014-06-11",94.68,95.599998,94.510002,95.410004,2331300,82.901176
"2014-06-12",95.779999,97.150002,95.75,96.309998,3204700,83.683212
"2014-06-13",96.870003,97.739998,96.510002,97.660004,2778300,84.856216
"2014-06-16",97.900002,98.269997,97.519997,98.199997,2465800,85.325401
"2014-06-17",97.739998,98.260002,97.32,98,3183000,85.151634
"2014-06-18",98.040001,99.720001,97.900002,99.599998,3067200,86.541855
"2014-06-19",99.129997,100.400002,98.980003,100.019997,3091000,86.906807
"2014-06-20",100.190002,100.839996,99.730003,100.690002,4327900,87.488953
"2014-06-23",101.480003,102.339996,101,101.599998,3984800,88.279663
"2014-06-24",101.620003,101.720001,98.510002,98.849998,3273100,85.89016
"2014-06-25",99.099998,99.550003,98.190002,99.379997,3205600,86.350716
"2014-06-26",99.610001,99.699997,98.720001,99.690002,1947700,86.620064
"2014-06-27",99.470001,99.849998,98.959999,99.760002,2011800,86.680878
"2014-06-30",99.809998,101.980003,99.690002,100.620003,3727800,87.428139
"2014-07-01",100.949997,101.440002,100.139999,100.510002,1955000,87.332542
"2014-07-02",100,100.5,99.400002,99.849998,2020000,86.759087
"2014-07-03",99.849998,100.220001,99.400002,100.029999,1086200,86.915482
"2014-07-07",100.459999,100.459999,98.830002,99.050003,1945100,86.06398
"2014-07-08",98.589996,99.43,98.290001,98.459999,2621500,85.5513
"2014-07-09",98.5,99.75,98.470001,99.650002,1952700,86.58532
"2014-07-10",98.419998,99.620003,97.879997,99.220001,2203000,86.211693
"2014-07-11",98.720001,99.089996,97.370003,97.400002,2191900,84.630287
"2014-07-14",97.93,98.910004,97.919998,98.550003,1949200,85.629532
"2014-07-15",97.989998,98.800003,97.32,97.940002,2603200,85.09951
"2014-07-16",98.5,99.900002,98.459999,99.870003,2525900,86.776466
"2014-07-17",100,101.5,98.809998,98.910004,2912600,85.942337
"2014-07-18",99.040001,99.239998,98.199997,98.580002,2143500,85.872643
"2014-07-21",98.419998,98.690002,97.809998,98.559998,1441500,85.855194
"2014-07-22",103.720001,104,102.220001,103.120003,5865300,89.827408
"2014-07-23",102.980003,103.510002,101.470001,103.480003,3969900,90.141014
"2014-07-24",103.360001,103.370003,102.379997,102.599998,3707600,89.374435
"2014-07-25",102.239998,103.440002,101.160004,101.849998,1317300,88.7211
"2014-07-28",101.389999,101.940002,100.639999,101.269997,1803300,88.215881
"2014-07-29",100.989998,101.959999,100.709999,101.32,1934600,88.25943
