"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2011-05-06",85.050003,85.720001,84.239998,84.5,1261300,64.950134
"2011-05-09",84.360001,84.610001,83.059998,83.550003,831700,64.21994
"2011-05-10",83.900002,84.879997,83.519997,84.540001,1089700,64.980888
"2011-05-11",84.150002,84.510002,83.309998,83.959999,961400,64.535057
"2011-05-12",83.779999,85.830002,83.339996,85.389999,1280200,65.634239
"2011-05-13",85.400002,88,85.400002,86.660004,2159300,66.61042
"2011-05-16",86.050003,86.790001,85.019997,85.099998,1176900,65.411324
"2011-05-17",84.75,85.650002,84.010002,84.360001,1509500,64.842514
"2011-05-18",84.040001,84.209999,83.529999,83.879997,1230000,64.858002
"2011-05-19",84.089996,84.800003,82.400002,83.019997,1035800,64.193024
"2011-05-20",82.709999,82.709999,81.540001,81.959999,945100,63.373394
"2011-05-23",81.019997,81.470001,80.339996,80.540001,1403700,62.275436
"2011-05-24",80.779999,81.389999,80.25,80.349998,944000,62.128529
"2011-05-25",80.18,82.360001,80.07,82.019997,1261400,63.4198
"2011-05-26",81.779999,82.580002,81.389999,82.25,957000,63.597633
"2011-05-27",82.419998,82.989998,81.919998,82.959999,638000,64.146622
"2011-05-31",83.620003,83.940002,82.75,83.800003,1106000,64.796135
"2011-06-01",83.419998,84.059998,82.07,82.160004,2227800,63.528034
"2011-06-02",82.410004,82.720001,80.900002,80.949997,962400,62.592453
"2011-06-03",79.699997,79.809998,76.330002,76.980003,4139800,59.522758
"2011-06-06",76.779999,76.879997,74.68,75.019997,2198100,58.007225
"2011-06-07",75.57,75.760002,74.599998,75,1695800,57.991779
"2011-06-08",74.93,75.029999,73.989998,74.57,1582900,57.65929
"2011-06-09",74.779999,75.120003,74,74.559998,1242300,57.651554
"2011-06-10",74.400002,74.519997,72.480003,72.980003,1819700,56.429863
"2011-06-13",73.160004,74.160004,72.790001,73.660004,1645500,56.955635
"2011-06-14",74.550003,75.660004,74.010002,74.370003,1448700,57.504639
"2011-06-15",73.769997,74.25,72.68,73.559998,1308800,56.878323
"2011-06-16",73.599998,75.349998,73.529999,75.290001,1914800,58.216007
"2011-06-17",75.93,76.300003,75.419998,76.050003,1402900,58.803669
"2011-06-20",75.889999,77.809998,75.709999,77.699997,1347800,60.079475
"2011-06-21",78.050003,78.220001,77.550003,78.040001,2082400,60.342361
"2011-06-22",77.620003,78.230003,77.099998,77.220001,1201500,59.708317
"2011-06-23",74.550003,77.900002,73.879997,77.779999,3179600,60.141346
"2011-06-24",77.940002,78.230003,76.43,76.760002,1298300,59.35265
"2011-06-27",76.650002,77.550003,76.580002,77,754500,59.538223
"2011-06-28",77.589996,79.959999,77.25,79.330002,1831100,61.33984
"2011-06-29",79.599998,80.769997,79.309998,80.489998,1934800,62.236755
"2011-06-30",80.790001,81.519997,80.389999,81.32,1094900,62.87854
"2011-07-01",81.360001,82.989998,80.75,82.779999,987100,64.007454
"2011-07-05",82.75,82.75,81.129997,81.809998,920400,63.257412
"2011-07-06",81.330002,81.519997,80.709999,80.93,1083000,62.576965
