"dates","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2012-11-30",73.449997,73.5,72.690002,73.110001,3520000,57.009056
"2012-12-03",73.5,73.5,72.199997,72.269997,2703800,56.354038
"2012-12-04",72.269997,73.370003,71.959999,73.040001,3832800,56.954475
"2012-12-05",73.150002,73.68,72.690002,73.5,3216100,57.313168
"2012-12-06",73.75,73.830002,72.639999,72.93,4269300,56.868698
"2012-12-07",73.089996,73.480003,72.75,73.169998,4098100,57.05584
"2012-12-10",73.120003,73.949997,73.089996,73.68,3018600,57.453533
"2012-12-11",73.730003,74.260002,73.339996,73.760002,3021900,57.51593
"2012-12-12",73.870003,74.050003,73.330002,73.43,2749500,57.258583
"2012-12-13",73.5,73.839996,73.019997,73.349998,2753300,57.196205
"2012-12-14",73.239998,73.559998,72.720001,72.849998,2874800,56.806301
"2012-12-17",73.150002,73.400002,72.959999,73.360001,2950300,57.204006
"2012-12-18",73.309998,75.059998,73,75.050003,6385800,58.521816
"2012-12-19",75.32,76.199997,75.110001,75.610001,6184000,58.958488
"2012-12-20",75.400002,75.559998,74.639999,75.129997,3631700,58.584179
"2012-12-21",74.599998,75.050003,74.279999,74.839996,5567400,58.358059
"2012-12-24",74.739998,74.93,74.389999,74.639999,1451400,58.202099
"2012-12-26",74.650002,74.839996,74.050003,74.260002,1917000,57.905796
"2012-12-27",74.160004,74.309998,73.199997,73.910004,3355100,57.632885
"2012-12-28",73.550003,73.949997,72.809998,72.830002,2599500,56.790714
"2012-12-31",72.800003,73.830002,72.580002,73.730003,4700000,57.492512
"2013-01-02",75.089996,76.309998,75.019997,76.309998,4810800,59.504333
"2013-01-03",76.25,76.519997,75.980003,76.379997,4528900,59.558903
"2013-01-04",76.510002,76.959999,76.410004,76.57,2632000,59.707054
"2013-01-07",76.449997,76.699997,76.220001,76.349998,2955900,59.535526
"2013-01-08",76.160004,76.43,75.809998,76.139999,2653300,59.371769
"2013-01-09",76.300003,77.099998,76.25,77,3123900,60.042374
"2013-01-10",77.160004,78.220001,77,78.199997,4761000,60.978096
"2013-01-11",78.360001,78.43,77.769997,77.919998,2323800,60.759758
"2013-01-14",78.660004,79.82,78.540001,79.239998,7255400,61.789051
"2013-01-15",78.739998,79.400002,78.580002,79.330002,3562200,61.859226
