"dates","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2011-02-04",9.54,9.633333,9.473333,9.485,3625800,9.485
"2011-02-07",9.521667,9.585,9.21,9.293333,7557000,9.293333
"2011-02-08",9.293333,9.385,9.166667,9.278333,6010800,9.278333
"2011-02-09",9.286667,9.36,9.116667,9.178333,4774200,9.178333
"2011-02-10",9.146667,9.296667,9.093333,9.201667,4474800,9.201667
"2011-02-11",9.166667,9.62,9.123333,9.428333,5226600,9.428333
"2011-02-14",9.428333,9.508333,9.288333,9.398333,2418600,9.398333
"2011-02-15",9.381667,9.51,9.361667,9.491667,3016800,9.491667
"2011-02-16",9.523333,9.558333,9.453333,9.543333,3135600,9.543333
"2011-02-17",9.535,9.618333,9.43,9.568333,3297000,9.568333
"2011-02-18",9.595,9.641667,9.496667,9.545,3217200,9.545
"2011-02-22",9.465,9.48,9.265,9.281667,4169400,9.281667
"2011-02-23",9.265,9.476667,9.23,9.31,5404800,9.31
"2011-02-24",9.291667,9.313333,9.071667,9.115,7236600,9.115
"2011-02-25",9.221667,9.975,9.195,9.833333,23863800,9.833333
"2011-02-28",9.823333,9.823333,9.563333,9.591667,8844600,9.591667
"2011-03-01",9.546667,9.608333,9.36,9.391667,6030000,9.391667
"2011-03-02",9.368333,9.438333,9.181667,9.23,6219000,9.23
"2011-03-03",9.263333,9.475,9.263333,9.428333,8623800,9.428333
"2011-03-04",9.416667,9.416667,9.256667,9.365,2934600,9.365
"2011-03-07",9.375,9.375,9.193333,9.313333,3967800,9.313333
"2011-03-08",9.303333,9.383333,9.241667,9.338333,4414200,9.338333
"2011-03-09",9.333333,9.418333,9.2,9.395,3327000,9.395
"2011-03-10",9.301667,9.418333,9.245,9.395,4169400,9.395
"2011-03-11",9.148333,9.29,8.923333,9.23,6890400,9.23
"2011-03-14",9.208333,9.241667,9.081667,9.215,4008600,9.215
"2011-03-15",8.968333,9.205,8.88,9.141667,3996600,9.141667
"2011-03-16",9.11,9.296667,9.005,9.135,4759800,9.135
"2011-03-17",9.255,9.296667,9.096667,9.156667,3802800,9.156667
"2011-03-18",9.226667,9.25,9.096667,9.223333,5074800,9.223333
"2011-03-21",9.306667,9.388333,9.143333,9.148333,5047200,9.148333
"2011-03-22",9.156667,9.198333,9.071667,9.168333,6399000,9.168333
"2011-03-23",9.165,9.521667,9.123333,9.498333,4584600,9.498333
"2011-03-24",9.523333,9.636667,9.433333,9.63,3901200,9.63
"2011-03-25",9.696667,9.975,9.693333,9.846667,5517600,9.846667
"2011-03-28",9.836667,9.908333,9.696667,9.725,2309400,9.725
"2011-03-29",9.735,9.91,9.688333,9.818333,3382800,9.818333
"2011-03-30",9.861667,10.053333,9.848333,10.041667,3907200,10.041667
"2011-03-31",10.06,10.086667,9.97,10.038333,3369600,10.038333
"2011-04-01",10.053333,10.183333,9.968333,10.166667,3520200,10.166667
"2011-04-04",10.156667,10.226667,10.103333,10.178333,1760400,10.178333
"2011-04-05",10.166667,10.248333,10.128333,10.168333,3388200,10.168333
"2011-04-06",10.173333,10.383333,10.173333,10.323333,4623600,10.323333
"2011-04-07",10.291667,10.471667,10.268333,10.34,6499800,10.34
"2011-04-08",10.4,10.538333,10.266667,10.33,3268200,10.33
"2011-04-11",10.351667,10.583333,10.323333,10.376667,3606600,10.376667
"2011-04-12",10.341667,10.378333,10.276667,10.308333,3380400,10.308333
"2011-04-13",10.381667,10.4,10.29,10.346667,2070000,10.346667
"2011-04-14",10.34,10.466667,10.275,10.433333,2531400,10.433333
"2011-04-15",10.47,10.585,10.391667,10.546667,2857200,10.546667
"2011-04-18",10.478333,10.518333,10.401667,10.461667,4631400,10.461667
"2011-04-19",10.463333,10.578333,10.455,10.566667,4407000,10.566667
"2011-04-20",10.673333,10.78,10.588333,10.635,5173800,10.635
"2011-04-21",10.621667,10.883333,10.616667,10.881667,7751400,10.881667
"2011-04-25",10.876667,10.878333,10.75,10.766667,3520200,10.766667
"2011-04-26",10.783333,10.98,10.713333,10.963333,4023600,10.963333
"2011-04-27",11.001667,11.045,10.946667,11.016667,3888600,11.016667
"2011-04-28",10.986667,11.085,10.918333,11.046667,3675000,11.046667
"2011-04-29",11.036667,11.081667,10.958333,11.025,4680000,11.025
"2011-05-02",11.043333,11.081667,10.841667,10.851667,2979000,10.851667
"2011-05-03",10.816667,10.816667,10.446667,10.576667,7800000,10.576667
"2011-05-04",10.576667,10.631667,10.453333,10.456667,4113000,10.456667
"2011-05-05",10.375,10.455,10.251667,10.323333,6027000,10.323333
"2011-05-06",10.833333,11.43,10.735,10.79,14878800,10.79
"2011-05-09",10.826667,10.97,10.683333,10.921667,5792400,10.921667
"2011-05-10",10.898333,10.965,10.851667,10.913333,3699000,10.913333
