"dates","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2017-05-12",158.369995,158.75,156.199997,156.679993,826900,146.702606
"2017-05-15",157.289993,157.669998,155.550003,156.529999,1181100,146.562149
"2017-05-16",156.949997,157.080002,155.130005,156.470001,713000,146.505981
"2017-05-17",156.470001,156.470001,152.800003,152.910004,1213800,143.172699
"2017-05-18",152.729996,153.259995,151.169998,152.289993,1816900,142.592163
"2017-05-19",153.470001,158.279999,153.070007,157.210007,1598400,147.198868
"2017-05-22",158.009995,158.729996,156.820007,157.960007,1070800,147.901138
"2017-05-23",158.169998,158.75,156.899994,158.050003,983800,147.985382
"2017-05-24",158.309998,160.270004,157.850006,159.520004,1023100,149.361786
"2017-05-25",159.860001,160.490005,158.360001,159.039993,847400,148.912323
"2017-05-26",159.039993,159.610001,158.550003,159.259995,504700,149.118301
"2017-05-30",158.380005,159.639999,158.070007,159.330002,637000,149.183884
"2017-05-31",159.360001,159.429993,156.860001,157.470001,1408000,147.442307
"2017-06-01",158.240005,159.949997,157.399994,159.389999,993800,149.240036
"2017-06-02",159.119995,161.240005,158.889999,160.240005,739900,150.035934
"2017-06-05",160.110001,160.110001,157,157.080002,1191900,147.077133
"2017-06-06",156.119995,156.770004,154.679993,155.789993,945300,145.869263
"2017-06-07",156.25,156.25,152.100006,152.679993,1609700,142.957321
"2017-06-08",152.679993,155.339996,152.009995,154.529999,1784300,144.689545
"2017-06-09",155.119995,158.169998,155.119995,157.039993,926000,147.039658
"2017-06-12",157.089996,158.119995,156.320007,157.130005,848100,147.123962
"2017-06-13",157.029999,158.570007,156.720001,158.449997,717400,148.359879
"2017-06-14",158.669998,158.669998,156.380005,157.089996,847800,147.086502
"2017-06-15",155.710007,159.5,155.210007,159.360001,1157100,149.21196
"2017-06-16",159.850006,162.630005,159.100006,162.610001,1812300,152.255005
"2017-06-19",163.600006,165.169998,162.880005,164.350006,774900,153.884216
"2017-06-20",163.320007,164.220001,162.789993,163.529999,1120200,153.11644
"2017-06-21",162.809998,162.940002,157.899994,158.110001,1584100,148.04158
"2017-06-22",158.380005,158.639999,157,157.399994,1240800,147.376755
"2017-06-23",157.139999,159.800003,156.919998,159.630005,3954700,149.464767
"2017-06-26",159.639999,160.149994,156.380005,157.070007,1164900,147.06778
"2017-06-27",157.160004,157.600006,156.100006,156.220001,883300,146.271896
"2017-06-28",157.440002,158.389999,156.729996,158.009995,1052300,147.947937
"2017-06-29",158.529999,158.529999,155.559998,157.050003,1462700,147.049088
"2017-06-30",157.830002,162.399994,157.75,159.820007,1474400,149.642685
"2017-07-03",160.570007,162.039993,159.580002,161.220001,484800,150.953537
"2017-07-05",161.059998,162.309998,160.490005,161.139999,896600,150.878632
"2017-07-06",160,161.300003,159.130005,159.449997,790800,149.296204
"2017-07-07",159.710007,161.330002,159.369995,160.899994,973800,150.653885
