"dates","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2013-10-16",72.844582,73.963684,72.593353,73.849495,1315739,50.657177
"2013-10-17",73.997948,75.368279,73.723877,75.162727,1114766,51.558014
"2013-10-18",75.50531,76.042023,74.603172,74.842979,1296386,51.338665
"2013-10-21",74.865822,74.865822,73.689621,74.020782,1168271,50.774677
"2013-10-22",74.1464,75.596664,73.735298,75.18557,943041,51.573669
"2013-10-23",75.082794,75.688019,74.831566,75.368279,1102419,51.699001
"2013-10-24",75.345436,75.448212,74.831566,75.391113,958279,51.714668
"2013-10-25",76.795708,77.241066,75.733696,76.887062,1512334,52.740799
"2013-10-28",76.94416,76.94416,75.196983,76.053444,1191215,52.168987
"2013-10-29",76.133377,76.270409,75.082794,75.493889,1134469,51.785141
"2013-10-30",75.653763,75.927826,74.968597,75.162727,807395,51.558014
"2013-10-31",75.276924,75.619507,74.363365,74.500397,1249799,51.103664
"2013-11-01",74.648849,75.105629,74.306267,74.842979,1320293,51.338665
"2013-11-04",74.968597,75.322601,74.226334,75.162727,1003289,51.558014
"2013-11-05",74.72879,75.037109,72.867416,73.072968,1363465,50.124531
"2013-11-06",73.426971,73.712456,72.947357,73.118645,1274932,50.155846
"2013-11-07",73.22142,73.655357,72.444901,72.661873,1071331,49.842525
"2013-11-08",72.068062,72.079475,69.258881,70.309464,1583879,48.228901
"2013-11-11",70.366562,70.960373,70.001144,70.206696,784277,48.158398
"2013-11-12",70.10392,70.275208,68.939133,69.350235,834630,47.570911
"2013-11-13",69.258881,69.407333,68.687904,69.099007,1319242,47.398571
"2013-11-14",69.612885,70.161011,69.087585,69.510109,1222915,47.680576
"2013-11-15",69.498688,70.286629,69.498688,69.864105,1205576,47.923393
"2013-11-18",69.864105,70.115334,69.578621,69.590042,1018702,47.735394
"2013-11-19",69.761337,69.761337,68.710747,68.973396,777271,47.312412
"2013-11-20",69.327393,69.864105,67.306152,67.568802,1485537,46.34893
"2013-11-21",67.831451,68.413841,67.420349,68.242546,955038,46.811092
"2013-11-22",68.242546,68.40242,67.1577,67.545959,1045849,46.333267
"2013-11-25",67.717255,67.877129,65.981499,66.404022,1336318,45.549946
"2013-11-26",66.449699,66.700928,65.513306,65.638916,1376163,45.02512
"2013-11-27",65.60466,65.912987,65.136459,65.821625,1284389,45.150452
"2013-11-29",65.935822,65.970078,64.885239,64.896652,686899,44.515965
"2013-12-02",64.885239,65.090782,63.948841,64.245743,1246559,44.069473
"2013-12-03",64.177231,64.234329,63.697613,63.914581,1364954,43.842312
"2013-12-04",63.263676,64.725365,63.217999,64.188652,1585630,44.030315
"2013-12-05",64.120132,64.942329,63.571999,64.725365,1370295,44.39846
"2013-12-06",65.090782,65.262077,63.93742,64.348518,1000750,44.139977
"2013-12-09",64.542648,65.399109,64.154388,65.387688,2059559,44.852787
"2013-12-10",65.558983,66.620987,65.433365,66.209892,2643826,45.416786
"2013-12-11",66.06144,66.198471,64.291428,64.325684,2005353,44.12431
"2013-12-12",63.377869,63.731873,62.681286,63.103802,2163154,43.850533
"2013-12-13",63.594837,64.611168,63.400707,63.926003,1676002,44.421883
"2013-12-16",64.005936,64.611168,63.960258,64.325684,2098352,44.699619
"2013-12-17",64.451294,64.805298,64.234329,64.611168,1892563,44.897999
"2013-12-18",64.805298,66.107117,63.469227,65.958664,2571493,45.834366
"2013-12-19",65.421951,65.53614,63.81181,64.691101,2295648,44.953552
"2013-12-20",64.988007,65.524719,64.805298,65.490463,2290306,45.509022
"2013-12-23",65.741692,66.175629,65.182137,65.250656,1513735,45.342392
"2013-12-24",65.2164,65.627495,64.965172,65.239235,547400,45.334442
"2013-12-26",65.227821,65.753113,65.2164,65.387688,1126500,45.437607
"2013-12-27",65.399109,65.67318,64.919495,65.364853,994620,45.42173
"2013-12-30",65.284912,66.209892,65.284912,65.878723,1033589,45.77882
"2013-12-31",65.935822,66.152794,65.227821,65.41053,1457428,45.45348
"2014-01-02",65.033684,65.34201,64.43988,64.885239,1325022,45.088448
"2014-01-03",65.125046,65.2164,64.668266,64.850975,1018527,45.064648
"2014-01-06",65.855888,66.986412,65.239235,66.461121,2230233,46.183529
"2014-01-07",66.449699,66.837959,65.73027,66.483955,2193366,46.199387
