"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2011-06-08",29.959999,30.065001,29.715,29.875,1165600,26.738695
"2011-06-09",30.055,30.889999,29.809999,30.280001,1430600,27.101179
"2011-06-10",30.075001,30.135,29.334999,29.385,1188400,26.30014
"2011-06-13",29.440001,30.254999,29.370001,29.75,1092400,26.626823
"2011-06-14",30.105,30.725,30,30.635,965200,27.418917
"2011-06-15",30.165001,30.695,30.1,30.299999,1027200,27.119078
"2011-06-16",30.26,30.555,29.709999,30.4,1507800,27.208584
"2011-06-17",30.620001,31,30.4,30.469999,2099400,27.271233
"2011-06-20",30.440001,31.780001,30.389999,31.73,1367600,28.398958
"2011-06-21",31.93,32.494999,31.745001,32.445,1818400,29.038904
"2011-06-22",32.415001,32.900002,31.915001,32.514999,2101600,29.101545
"2011-06-23",32.154999,33.189999,32.125,33.099998,1504200,29.625132
"2011-06-24",33.064999,33.314999,32.330002,32.455002,1440600,29.047855
"2011-06-27",32.455002,33.195,32.195,33.02,1090200,29.553535
"2011-06-28",33.240002,34.099998,33.044998,33.375,1731600,29.871265
"2011-06-29",33.459999,33.869999,33.064999,33.424999,1171800,29.916025
"2011-06-30",33.529999,33.849998,33.439999,33.439999,1524400,29.929443
"2011-07-01",33.610001,34.009998,33.419998,33.915001,1640800,30.354574
"2011-07-05",34.095001,35.91,33.919998,35.764999,2947800,32.010361
"2011-07-06",35.689999,36.299999,35.48,35.84,1860000,32.077492
"2011-07-07",36.25,36.544998,35.75,36.130001,1650600,32.337044
"2011-07-08",35.66,36.014999,35.285,35.855,1228400,32.090931
"2011-07-11",35.560001,35.724998,34.665001,34.869999,1545000,31.209322
"2011-07-12",34.674999,35.275002,34.455002,34.875,1743600,31.213797
"2011-07-13",35.040001,35.650002,34.985001,35.150002,950200,31.459925
"2011-07-14",35.240002,35.470001,34.314999,34.535,1142600,30.909479
"2011-07-15",34.68,34.91,34.130001,34.584999,1090800,30.954239
"2011-07-18",34.535,34.665001,34.075001,34.23,826800,30.63652
