"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2017-05-16",65.739998,66.029999,65.480003,65.720001,5961000,57.068768
"2017-05-17",65.370003,65.620003,64.459999,64.510002,8976100,56.018055
"2017-05-18",64.449997,64.669998,63.880001,64.43,7926000,55.948586
"2017-05-19",64.379997,64.800003,64.080002,64.230003,8429400,55.77491
"2017-05-22",64.239998,64.639999,64.120003,64.360001,7162900,55.887798
"2017-05-23",64.360001,64.800003,64.300003,64.690002,5094600,56.174358
"2017-05-24",64.730003,64.790001,64.230003,64.309998,5926700,55.844379
"2017-05-25",64.5,64.830002,64.209999,64.559998,5659000,56.061474
"2017-05-26",64.370003,64.75,64.309998,64.5,4021900,56.009369
"2017-05-30",64.470001,64.769997,64.300003,64.489998,6979900,56.000679
"2017-05-31",64.470001,64.919998,64.18,64.889999,9190200,56.34803
"2017-06-01",65.010002,65.709999,64.510002,64.620003,9316300,56.113575
"2017-06-02",64.900002,65.550003,64.760002,65.400002,6459300,56.790897
"2017-06-05",65.589996,65.790001,65.040001,65.480003,6184800,56.860371
"2017-06-06",65.190002,65.379997,64.639999,64.849998,7282800,56.313286
"2017-06-07",65.029999,65.169998,64.199997,64.32,7790400,55.853062
"2017-06-08",64.160004,64.580002,64.059998,64.120003,8744900,55.67939
"2017-06-09",64.110001,64.940002,63.950001,64.699997,9338900,56.183037
"2017-06-12",64.599998,66.699997,64.550003,65.43,10459200,56.81694
"2017-06-13",65.610001,65.650002,65.010002,65.150002,8185300,56.573799
"2017-06-14",64.919998,65.360001,64.540001,64.989998,6795700,56.888927
"2017-06-15",64.709999,65.160004,64.099998,64.809998,6858100,56.731361
"2017-06-16",64.790001,64.839996,63.759998,64.120003,10246600,56.127377
"2017-06-19",64.190002,64.970001,64.080002,64.809998,7900100,56.731361
"2017-06-20",64.889999,66,64.019997,65.589996,13114600,57.414143
"2017-06-21",65.82,67.690002,65.610001,67.5,13981300,59.086044
"2017-06-22",68.32,71.440002,68.290001,70.480003,28962900,61.694595
"2017-06-23",71.239998,71.370003,69.839996,70.519997,22911200,61.729603
"2017-06-26",71.25,71.760002,70.720001,71.239998,14129100,62.359856
"2017-06-27",71.400002,71.900002,70.639999,70.650002,10768700,61.843388
"2017-06-28",70.970001,72.089996,70.830002,71.919998,10606200,62.955086
"2017-06-29",72,72.169998,70.019997,70.860001,11437400,62.027218
"2017-06-30",71.559998,71.639999,70.32,70.779999,6727100,61.957199
"2017-07-03",71.110001,71.599998,70.559998,70.699997,3453000,61.887161
"2017-07-05",70.830002,71.290001,70.160004,70.860001,7219600,62.027218
"2017-07-06",70.660004,70.739998,69.190002,69.480003,7989000,60.819248
"2017-07-07",69.690002,69.690002,68.540001,69.25,6535800,60.617916
"2017-07-10",69.239998,69.739998,69.120003,69.290001,6485900,60.652939
"2017-07-11",68.989998,69.5,68.610001,69.349998,6442700,60.705452
"2017-07-12",69.769997,70.129997,69.610001,69.800003,5585200,61.099354
"2017-07-13",69.989998,70.980003,69.519997,70.580002,7533900,61.782127
"2017-07-14",70.739998,71.029999,70.419998,70.57,5234600,61.773384
"2017-07-17",70.580002,71.860001,70.400002,71.150002,7612400,62.281075
"2017-07-18",71.300003,71.730003,70.720001,71.690002,6096700,62.753769
"2017-07-19",72,72.739998,71.769997,72.720001,8312400,63.655373
"2017-07-20",72.860001,73.739998,72.769997,73.419998,9271400,64.268112
"2017-07-21",73.32,74.410004,73.279999,73.760002,8874000,64.565735
"2017-07-24",73.699997,74.419998,73.190002,74.389999,8943200,65.117218
"2017-07-25",74.720001,75.290001,73.620003,73.739998,9061200,64.548225
"2017-07-26",74.099998,74.269997,73.620003,74.190002,10695300,64.942146
"2017-07-27",75.43,75.989998,74.449997,74.959999,13871000,65.61615
"2017-07-28",75.010002,76.029999,74.75,75.940002,8954600,66.473999
"2017-07-31",76,76.489998,75.830002,76.089996,7994100,66.605301
"2017-08-01",76.349998,76.360001,75.519997,75.699997,7296600,66.263916
"2017-08-02",75.540001,75.900002,75.169998,75.839996,7086200,66.386467
