"dates","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2016-05-20",20.223213,20.535713,19.694941,20.178572,12829018,18.864189
"2016-05-23",19.992559,20.282738,19.828869,20.126488,6400800,18.815495
"2016-05-24",20.290178,20.342262,19.754463,20.059525,6327821,18.752895
"2016-05-25",20.260418,20.453869,20.178572,20.305059,7850438,18.982435
"2016-05-26",20.491072,20.572918,19.888393,19.895832,6399725,18.599865
"2016-05-27",19.910713,20.096725,19.828869,20.089287,2767296,18.78072
"2016-05-31",20.133928,20.431547,20.089287,20.260418,4700506,18.940701
"2016-06-01",20.260418,20.260418,19.724703,20.022322,3568454,18.718117
"2016-06-02",19.776787,20.007441,19.657738,19.784225,4282656,18.495527
"2016-06-03",19.836309,20.133928,19.732143,19.784225,3169018,18.495527
"2016-06-06",20.104168,20.758928,20.089287,20.684525,6145037,19.337183
"2016-06-07",20.825893,21.153275,20.811012,21.09375,5406240,19.719757
"2016-06-08",21.577381,21.860119,21.443453,21.622025,5713882,20.213615
"2016-06-09",21.212797,21.331844,21.011906,21.034225,5043763,19.664106
"2016-06-10",20.699406,20.944941,20.431547,20.438988,3613613,19.107639
"2016-06-13",19.933037,20.394344,19.880953,20.037203,3811181,18.732025
"2016-06-14",19.665178,20.141369,19.650297,19.888393,3475450,18.592913
"2016-06-15",19.873512,20.275297,19.709822,19.836309,2905728,18.544218
"2016-06-16",19.598213,19.620537,19.129463,19.427082,3277344,18.16165
"2016-06-17",19.6875,20.483631,19.546131,20.126488,5110963,18.815495
"2016-06-20",20.528275,20.721725,20.372025,20.409225,6087379,19.079817
"2016-06-21",20.349703,20.610119,20.111607,20.528275,3903379,19.191113
"2016-06-22",20.803572,20.803572,20.491072,20.535713,2591904,19.198065
"2016-06-23",20.825893,20.959822,20.654762,20.915178,3143078,19.552816
"2016-06-24",19.479168,20.066963,19.241072,19.270832,10860461,18.015577
"2016-06-27",18.90625,18.973213,18.087797,18.169643,3290650,16.986115
"2016-06-28",18.623512,18.757441,18.407738,18.608631,4387219,17.396509
"2016-06-29",19.092262,19.441963,19.002975,19.241072,4896998,17.987755
"2016-06-30",19.464287,19.84375,19.330357,19.84375,4434797,18.551178
"2016-07-01",20.066963,20.446428,20.066963,20.275297,3179904,18.954611
"2016-07-05",19.925594,19.933037,19.211309,19.449406,3276134,18.182518
"2016-07-06",19.069941,19.330357,18.854168,19.285713,3241459,18.02949
"2016-07-07",19.412203,19.806547,19.0625,19.203869,3288365,17.952972
"2016-07-08",19.523809,19.769344,19.419643,19.613094,2451859,18.335545
"2016-07-11",19.940475,20.163691,19.501488,19.501488,3312691,18.231209
"2016-07-12",20.014881,20.424107,20.014881,20.171131,3625037,18.857231
"2016-07-13",20.282738,20.386906,19.813988,20.126488,3897600,18.815495
"2016-07-14",20.431547,20.491072,20.178572,20.342262,3120768,19.017218
"2016-07-15",20.446428,20.46875,20.215775,20.327381,2286278,19.003305
"2016-07-18",20.223213,20.617559,20.096725,20.610119,2794042,19.267626
"2016-07-19",20.453869,20.699406,20.349703,20.386906,3596947,19.058952
"2016-07-20",20.238094,20.758928,20.111607,20.639881,5004922,19.295448
"2016-07-21",20.803572,21.026787,20.141369,20.215775,8009971,18.898966
