"dates","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2017-05-30",155.009995,155.369995,153.559998,153.850006,2716700,138.220764
"2017-05-31",153.669998,155.369995,153.669998,155.240005,3891300,139.469574
"2017-06-01",155.399994,156.770004,155.240005,156.240005,3005300,140.367996
"2017-06-02",157.270004,159.619995,157,159.149994,3320800,142.982361
"2017-06-05",160.289993,161.119995,158.270004,160.220001,4611100,143.943649
"2017-06-06",160.130005,160.919998,159.240005,159.529999,3002500,143.323776
"2017-06-07",159.820007,162.050003,159.75,161.660004,3571500,145.237396
"2017-06-08",161.979996,163.169998,161.410004,162.649994,3555100,146.126816
"2017-06-09",162.75,166.139999,162.630005,164.059998,4086800,147.39357
"2017-06-12",165,167.229996,163.279999,164.880005,4344500,148.13031
"2017-06-13",164.470001,165.089996,163.770004,164.429993,2568200,147.725967
"2017-06-14",164.360001,165.880005,163.970001,165.100006,2594800,148.327927
"2017-06-15",164.240005,164.899994,162.550003,164.110001,3585000,147.438477
"2017-06-16",163.839996,164.100006,161.130005,162.419998,5887200,145.920151
"2017-06-19",163.100006,165.220001,162.690002,165.089996,3043900,148.318939
"2017-06-20",165.429993,168.699997,164.789993,166.289993,3857900,149.397034
"2017-06-21",167.199997,171.759995,166.360001,171.350006,5490800,153.943024
"2017-06-22",172.440002,175.449997,172.100006,173.820007,5745800,156.162079
"2017-06-23",173.240005,174.130005,170.960007,172.5,14368500,154.976166
"2017-06-26",173.389999,174.720001,172.410004,173.669998,3037600,156.027298
"2017-06-27",173.020004,173.919998,170.770004,170.850006,2941500,153.493805
"2017-06-28",171.419998,174.539993,170.830002,174.070007,2890500,156.386703
"2017-06-29",174.490005,174.720001,171.020004,172.589996,2491800,155.057037
"2017-06-30",173.610001,174.25,172.009995,172.229996,2695500,154.733582
"2017-07-03",172.630005,174.330002,172.630005,172.800003,1395100,155.245697
"2017-07-05",172.669998,174.380005,171.919998,174.259995,2830000,156.557358
"2017-07-06",173.100006,173.610001,171.309998,171.720001,2566400,154.275421
"2017-07-07",171.639999,172.029999,170.589996,171.429993,2612900,154.014862
