"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2012-08-20",83.47065,83.69722,82.76004,83.22348,426463,61.47438
"2012-08-21",83.367661,83.728111,82.904221,83.0896,481810,61.375484
"2012-08-22",82.98661,83.46035,82.173019,83.408859,388012,61.611313
"2012-08-23",83.264679,83.748711,82.83213,83.24408,454137,61.489597
"2012-08-24",83.254379,83.635429,82.93512,83.357361,269647,61.573254
"2012-08-27",83.70752,84.098869,82.481979,82.863029,349754,61.208145
"2012-08-28",82.955719,83.67662,82.203911,83.645729,718734,61.786293
"2012-08-29",83.37796,83.635429,82.99691,83.419159,322663,61.618927
"2012-08-30",82.76004,83.182289,82.131821,82.3069,341209,60.797333
"2012-08-31",82.893921,83.0896,81.750771,83.00721,909633,61.31464
"2012-09-04",83.192589,84.438721,82.059731,84.366631,577939,62.318794
"2012-09-05",84.30484,84.438721,83.347069,83.70752,516475,61.831932
"2012-09-06",84.39753,84.953659,84.098869,84.438721,908565,62.372028
"2012-09-07",84.170959,85.324409,84.170959,84.85067,512397,62.676338
"2012-09-10",84.346031,84.84037,83.594231,84.23275,586678,62.219921
"2012-09-11",84.119461,84.510811,83.130791,84.129761,488899,62.143822
"2012-09-12",84.44902,85.108139,83.944389,84.727081,369368,62.585033
"2012-09-13",84.747681,86.45726,84.582901,86.096809,318974,63.596836
"2012-09-14",86.560249,88.125641,86.519051,87.6828,523466,64.768326
"2012-09-17",87.45623,88.30072,86.39547,86.416069,533856,63.832661
"2012-09-18",86.138,86.416069,84.943359,85.046341,589980,62.820877
"2012-09-19",85.036041,85.22142,83.99588,84.45932,457535,62.387238
"2012-09-20",84.037071,84.047371,82.636459,83.47065,790977,61.65696
"2012-09-21",83.964989,84.37693,83.30587,83.975281,1015957,62.029739
"2012-09-24",83.274971,84.6241,83.182289,83.583931,753205,61.740627
"2012-09-25",83.55304,84.16066,82.62616,82.739441,838459,61.116833
"2012-09-26",82.873329,83.202881,81.60659,81.658081,771945,60.506348
"2012-09-27",82.111229,83.645729,81.76107,82.863029,662902,61.3992
"2012-09-28",82.358391,82.739441,81.647789,82.46138,773207,61.101589
"2012-10-01",82.77034,82.77034,80.267761,81.21524,812727,60.178223
"2012-10-02",81.822861,82.173019,80.92688,82.00824,415103,60.765846
"2012-10-03",82.07003,82.60556,81.40062,81.503609,778548,60.391891
