"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2013-12-13",50.705002,51.384998,50.705002,51.134998,752000,51.134998
"2013-12-16",51.459999,52.395,51.345001,51.715,2050800,51.715
"2013-12-17",51.830002,52.345001,51.529999,52.169998,2697400,52.169998
"2013-12-18",52.369999,52.654999,51.77,52,1183800,52
"2013-12-19",51.715,52.384998,51.349998,51.904999,1546400,51.904999
"2013-12-20",51.91,53.07,51.91,52.605,2206800,52.605
"2013-12-23",52.875,52.875,52.134998,52.669998,423200,52.669998
"2013-12-24",52.595001,53.220001,52.099998,53,174800,53
"2013-12-26",53.080002,53.255001,52.830002,52.860001,411600,52.860001
"2013-12-27",53.009998,53.529999,52.855,53.384998,411000,53.384998
"2013-12-30",53.279999,53.474998,52.799999,53.345001,378400,53.345001
"2013-12-31",53.59,53.59,52.779999,53.185001,739800,53.185001
"2014-01-02",52.994999,53.735001,52.32,52.514999,855200,52.514999
"2014-01-03",52.794998,53.279999,52.529999,53.145,583800,53.145
"2014-01-06",53.299999,53.465,52.505001,52.66,695600,52.66
"2014-01-07",52.834999,53.950001,52.525002,53.93,504400,53.93
"2014-01-08",53.98,54.450001,53.575001,54.154999,500800,54.154999
"2014-01-09",54.174999,54.544998,53.735001,54.490002,329400,54.490002
"2014-01-10",54.5,54.994999,54.115002,54.525002,464800,54.525002
"2014-01-13",54.259998,54.75,53.875,54.189999,408600,54.189999
"2014-01-14",54.439999,55.290001,54.005001,55.005001,468000,55.005001
"2014-01-15",54.994999,56.279999,54.994999,56.055,819600,56.055
"2014-01-16",56.005001,56.375,55.685001,56.255001,577800,56.255001
"2014-01-17",56.110001,56.860001,55.970001,56.790001,649800,56.790001
"2014-01-21",56.915001,57.5,56.674999,57.09,842400,57.09
"2014-01-22",57.169998,57.490002,56.810001,57.290001,544200,57.290001
"2014-01-23",56.98,57.465,56.805,57.299999,528400,57.299999
"2014-01-24",57.18,57.18,55.849998,56.639999,607000,56.639999
"2014-01-27",56.715,57.345001,56.215,56.455002,551800,56.455002
"2014-01-28",56.615002,56.805,56.384998,56.555,684800,56.555
"2014-01-29",56.035,56.939999,56.035,56.724998,428800,56.724998
"2014-01-30",56.154999,57.075001,55.66,56.880001,877200,56.880001
