"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2014-01-15",47.27,48.759998,47.209999,48.02,925800,45.608749
"2014-01-16",48.02,48.880001,47.25,48.610001,503600,46.169128
"2014-01-17",48.900002,49.439999,47.630001,48.509998,747300,46.074131
"2014-01-21",48.610001,49.580002,47.689999,49.080002,717600,46.615517
"2014-01-22",49.200001,51.630001,49,51.220001,773300,48.648064
"2014-01-23",51.110001,51.369999,49.52,50.439999,978600,47.90723
"2014-01-24",49.889999,50.400002,48.009998,48.869999,836800,46.416065
"2014-01-27",48.75,49.799999,47.259998,47.540001,596900,45.152851
"2014-01-28",47.73,50.450001,47.73,49.799999,591900,47.299374
"2014-01-29",49.09,50.360001,48.299999,48.59,764900,46.150135
"2014-01-30",49.139999,51.549999,49.139999,51.369999,1053200,48.790531
"2014-01-31",50.669998,53.32,50.099998,51.98,827100,49.369907
"2014-02-03",51.98,52.560001,49.540001,50.080002,1003600,47.565304
"2014-02-04",50.32,52.619999,50.32,51.639999,429500,49.04697
"2014-02-05",51.540001,53.049999,50.400002,52.959999,723300,50.300694
"2014-02-06",53.099998,55.41,53.099998,53.77,1109300,51.070019
"2014-02-07",57.200001,59,55.009998,56.720001,1298000,53.871895
"2014-02-10",57.23,58.650002,56,57.52,914600,54.631721
"2014-02-11",57.450001,59.220001,56.07,58.91,717100,55.95192
"2014-02-12",58.970001,59.84,57.799999,57.970001,795400,55.059128
"2014-02-13",57.52,59.32,56.66,58.889999,842900,55.932926
"2014-02-14",58.970001,59.830002,58,59.650002,876300,56.654766
"2014-02-18",59.669998,61.869999,58.439999,61.02,1333600,57.955975
"2014-02-19",61.490002,62.540001,60.400002,61.040001,764900,57.974976
"2014-02-20",60.900002,62.889999,60.23,62.669998,1073300,59.523117
"2014-02-21",63.98,64.419998,62.93,63.990002,3257700,60.776848
"2014-02-24",64.339996,68,64.309998,64.800003,1941000,61.546169
"2014-02-25",65.580002,65.580002,62.830002,63.740002,1470100,60.539394
"2014-02-26",63.900002,65.120003,61.91,64.540001,884300,61.299221
"2014-02-27",64.440002,65.349998,63.619999,63.889999,742900,60.681854
"2014-02-28",64.139999,64.709999,63.68,64.330002,1029700,61.099766
"2014-03-03",63.889999,65.379997,63.509998,64.410004,709400,61.175751
"2014-03-04",65.029999,66.139999,64.769997,65.480003,667900,62.19202
"2014-03-05",65.519997,65.93,63.07,64.040001,685800,60.824326
"2014-03-06",63.950001,64.699997,62.220001,62.759998,854300,59.608597
"2014-03-07",63.23,64.129997,62.52,63.880001,591100,60.672363
"2014-03-10",63.830002,63.959999,61.009998,63.029999,852400,59.865047
"2014-03-11",62.919998,64.440002,60.41,62.009998,1085100,58.896263
"2014-03-12",61.619999,63.52,60.759998,63.16,811200,59.988514
"2014-03-13",64.349998,64.459999,62.630001,63.360001,800100,60.178474
"2014-03-14",63.43,64.330002,63.02,63.580002,508700,60.387432
"2014-03-17",64.129997,64.959999,63.450001,63.93,580400,60.719849
"2014-03-18",64.019997,65.75,63.959999,65.68,595400,62.381985
"2014-03-19",65.599998,65.970001,64.07,64.400002,683100,61.166256
"2014-03-20",64.269997,66.129997,63.040001,65.190002,841100,61.916588
"2014-03-21",65.260002,66.110001,64.029999,64.220001,851300,60.995285
"2014-03-24",64.540001,64.900002,62.189999,64.139999,686400,60.919308
"2014-03-25",64.269997,64.949997,63.02,64.290001,496700,61.061771
"2014-03-26",64.910004,66.080002,63.959999,64.889999,746600,61.631641
"2014-03-27",65.209999,68.900002,64.870003,68.040001,910700,64.623466
"2014-03-28",68.339996,69.900002,67.559998,69.699997,1465600,66.200111
