"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2011-05-26",18.394232,18.740385,18.394232,18.673077,43271904,14.306128
"2011-05-27",18.740385,18.826923,18.673077,18.692308,31432544,14.320861
"2011-05-31",18.923077,18.961538,18.730768,18.884615,55302000,14.468194
"2011-06-01",18.721153,18.846153,18.365385,18.394232,67612480,14.092494
"2011-06-02",18.423077,18.538462,18.211538,18.355768,41869360,14.063017
"2011-06-03",18.105768,18.259615,18.028847,18.096153,51069824,13.864122
"2011-06-06",17.990385,18.076923,17.682692,17.75,62889112,13.598925
"2011-06-07",17.826923,17.980768,17.759615,17.769232,55009344,13.61366
"2011-06-08",17.778847,17.951923,17.692308,17.798077,54301728,13.635759
"2011-06-09",17.836538,18.038462,17.778847,17.865385,40965184,13.687323
"2011-06-10",17.798077,17.807692,17.442308,17.615385,58071832,13.495791
"2011-06-13",17.605768,17.807692,17.519232,17.682692,44149664,13.547354
"2011-06-14",17.817308,18.028847,17.788462,17.884615,51333256,13.702054
"2011-06-15",17.759615,17.951923,17.615385,17.682692,60802040,13.547354
"2011-06-16",17.509615,17.894232,17.5,17.730768,57287152,13.6959
"2011-06-17",17.913462,17.971153,17.634615,17.778847,58706024,13.73304
"2011-06-20",17.634615,17.846153,17.596153,17.769232,40453192,13.725614
"2011-06-21",17.884615,18.211538,17.846153,18.086538,61140872,13.970708
"2011-06-22",17.971153,18.086538,17.846153,17.846153,50000496,13.785026
"2011-06-23",17.634615,17.682692,17.317308,17.673077,72128680,13.651339
"2011-06-24",17.711538,17.721153,17.278847,17.278847,84057272,13.346818
"2011-06-27",17.317308,17.711538,17.307692,17.576923,48302592,13.577064
"2011-06-28",17.625,17.730768,17.461538,17.730768,40246336,13.6959
