"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2011-09-22",32.865807,32.911297,31.834723,32.388172,9439292,21.161781
"2011-09-23",32.160728,32.8279,32.092495,32.380592,6398997,21.156826
"2011-09-26",32.759666,32.98711,31.796816,32.964367,5638989,21.53825
"2011-09-27",33.548141,34.230476,33.381351,33.548141,5174173,21.91968
"2011-09-28",33.411674,33.707355,32.373009,32.418499,5587548,21.193575
"2011-09-29",33.062927,33.290371,32.319939,33.002274,5880498,21.575218
"2011-09-30",32.373009,32.78241,31.796816,31.796816,6517311,20.787148
"2011-10-03",31.637604,31.872631,30.621683,30.644428,8592362,20.033772
"2011-10-04",30.379074,31.319181,29.825624,31.250948,9504186,20.430285
"2011-10-05",31.448067,31.766491,30.985596,31.630022,6122007,20.678104
"2011-10-06",31.637604,32.365429,31.334345,32.342686,6316163,21.144007
"2011-10-07",32.084911,32.479153,31.751328,32.054588,8380398,20.955664
"2011-10-10",32.623199,33.532982,32.600456,33.502655,3247774,21.902334
"2011-10-11",33.229717,33.623959,33.138741,33.472328,3905955,21.882513
"2011-10-12",33.745262,34.768764,33.631538,34.215317,5688847,22.36824
"2011-10-13",33.904472,34.116756,33.275208,34.003033,3951196,22.22946
"2011-10-14",34.488251,34.799091,33.942383,34.404854,4206291,22.492151
"2011-10-17",34.435177,34.435177,33.244881,33.335861,3547055,21.793295
"2011-10-18",33.229717,34.488251,33.123577,34.19257,5995646,22.353361
"2011-10-19",34.056103,34.427597,33.335861,33.419258,6006594,21.847807
"2011-10-20",33.654285,34.715694,33.457165,34.33662,5725779,22.447536
"2011-10-21",34.632298,35.845337,34.632298,35.564823,6708170,23.250473
"2011-10-24",35.54966,36.686886,35.44352,36.603485,7032380,23.929499
"2011-10-25",36.194084,36.398788,35.70129,35.951477,6051176,23.503254
"2011-10-26",36.398788,36.580742,35.75436,36.247158,6127546,23.69655
"2011-10-27",37.27066,38.036392,37.12661,37.793781,5866384,24.707657
"2011-10-28",37.733131,38.64291,37.566338,38.559517,6852733,25.208254
"2011-10-31",38.006065,38.286579,36.633812,36.656559,7166787,23.964203
"2011-11-01",35.6558,36.398788,35.193329,35.898407,8019652,23.468559
"2011-11-02",37.088703,37.088703,36.322971,36.762699,4079799,24.033588
"2011-11-03",37.300987,37.308567,36.717209,37.179684,6445030,24.306192
"2011-11-04",36.815769,37.103867,36.277485,36.95982,3690958,24.162457
"2011-11-07",36.823353,37.22517,36.398788,37.16452,3976126,24.296276
"2011-11-08",37.32373,37.695225,36.921909,37.619408,4036931,24.593657
"2011-11-09",36.603485,37.12661,36.315392,36.421532,5367539,23.810549
"2011-11-10",36.899166,37.263077,36.618649,36.838512,5366483,24.083151
"2011-11-11",37.369221,38.021229,37.194843,37.687641,2912088,24.638273
"2011-11-14",37.528431,37.702805,37.16452,37.354057,2411132,24.420187
"2011-11-15",37.16452,37.801365,36.868839,37.520847,3375321,24.529234
"2011-11-16",37.02047,37.482941,36.504929,36.565578,4746422,23.90472
"2011-11-17",36.376041,36.489765,35.284306,35.66338,5288267,23.314913
"2011-11-18",36.012131,36.133434,35.534496,35.875664,3630943,23.453693
"2011-11-21",35.246399,35.360123,34.662624,35.041698,3065488,22.908491
"2011-11-22",34.874905,35.253979,34.488251,34.905231,3483347,22.819262
"2011-11-23",34.50341,34.647461,33.858986,33.858986,4174107,22.13529
"2011-11-25",33.692192,34.374527,33.654285,33.783169,1496406,22.085724
"2011-11-28",34.890068,35.314632,34.670204,35.079605,5119303,22.933273
"2011-11-29",35.344959,35.678543,35.102348,35.291889,3556024,23.072044
"2011-11-30",36.588326,37.043217,36.467018,36.679302,6908658,23.979067
"2011-12-01",36.717209,37.149357,36.588326,36.702045,3494031,23.993937
"2011-12-02",36.884003,37.01289,35.974224,36.012131,6431312,23.542908
"2011-12-05",36.732372,36.747536,35.81501,36.110691,4684956,23.60734
"2011-12-06",36.239574,36.611069,35.75436,36.398788,4712787,23.795683
"2011-12-07",36.186504,36.231995,35.382866,35.890827,5214139,23.463608
"2011-12-08",35.595146,35.670963,34.700531,34.806671,4482622,22.754829
"2011-12-09",34.920395,35.670963,34.814255,35.572403,4187957,23.255434
"2011-12-12",35.072025,35.147839,34.382107,34.632298,4132559,22.640842
"2011-12-13",34.677788,35.163002,34.162243,34.38969,6256545,22.482231
"2011-12-14",34.306293,34.988628,34.207733,34.852161,6804325,22.784569
"2011-12-15",35.193329,35.481426,34.912811,35.011372,5434544,22.888664
"2011-12-16",35.337376,35.678543,34.912811,35.155422,6710281,22.98283
"2011-12-19",35.398029,35.534496,34.890068,35.034119,3592165,22.903532
"2011-12-20",35.670963,36.429111,35.375282,36.376041,3771681,23.780807
"2011-12-21",36.459438,36.489765,35.367702,35.739197,3818505,23.364477
"2011-12-22",35.777103,36.042458,35.511749,35.617893,5454065,23.285164
"2011-12-23",35.716454,36.231995,35.572403,36.224411,2769768,23.681677
"2011-12-27",36.224411,36.368462,35.943897,36.133434,2103146,23.622208
"2011-12-28",36.042458,36.322971,35.420773,35.519333,2467849,23.232925
"2011-12-29",35.526913,36.042458,35.504169,35.996967,2218294,23.54534
"2011-12-30",35.86808,35.96664,35.633057,35.66338,2181626,23.327152
"2012-01-03",36.421532,37.07354,36.413952,36.732372,3655609,24.026361
"2012-01-04",36.686886,36.724792,36.277485,36.664139,3077623,23.981735
"2012-01-05",36.383625,36.868839,36.012131,36.838512,4559124,24.095783
"2012-01-06",36.755119,36.91433,36.315392,36.641396,2733100,23.966864
"2012-01-09",36.633812,36.876423,36.315392,36.830933,2818307,24.090839
"2012-01-10",37.156937,37.808945,37.081123,37.710388,4619929,24.666082
"2012-01-11",37.589085,38.210766,37.505688,38.104626,3979027,24.923946
"2012-01-12",38.286579,38.58984,38.089462,38.514027,3653366,25.191732
