"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2015-11-25",73.16848,73.98156,73.067894,73.528915,2422029,70.004684
"2015-11-27",73.461861,74.098907,73.269073,73.419952,738348,69.900955
"2015-11-30",73.772003,74.283318,73.185249,73.663033,3532831,70.132385
"2015-12-01",73.998322,74.509644,73.595978,74.291702,2028219,70.730911
"2015-12-02",74.048615,74.048615,72.564964,72.623634,2779213,69.142807
"2015-12-03",72.90863,73.16848,71.441742,71.978203,2897320,68.528305
"2015-12-04",72.045265,73.780388,71.894386,73.637886,1702530,70.108452
"2015-12-07",73.579208,73.989944,72.187759,72.531433,2210629,69.055008
"2015-12-08",71.886002,72.053642,70.561607,71.66806,2585350,68.233025
"2015-12-09",71.165131,73.009216,70.125732,70.746017,4131120,67.355179
"2015-12-10",70.712486,71.60939,70.603523,70.762779,1976920,67.37114
"2015-12-11",69.346184,70,68.507965,68.734283,1712671,65.439873
"2015-12-14",68.868401,69.002518,67.988266,68.860016,2102305,65.559586
"2015-12-15",69.430008,70.905281,69.404861,70.134117,2653948,66.772598
"2015-12-16",70.55323,72.045265,70.494553,71.886002,1426709,68.440529
"2015-12-17",71.676445,71.919533,69.949707,69.958092,1931467,66.605011
"2015-12-18",69.849121,70.578377,69.279129,70,3574825,66.644913
"2015-12-21",70.930428,71.466888,69.664711,70.452637,1781865,67.075859
"2015-12-22",70.913666,71.68483,70.343674,71.005867,1420744,67.602562
"2015-12-23",72.154236,73.621124,72.154236,73.025986,2501125,69.525871
"2015-12-24",73.042747,73.310982,72.514671,72.791283,958218,69.302406
"2015-12-28",72.464378,73.09304,72.11232,73.076279,786664,69.573738
"2015-12-29",73.554062,73.813911,73.369659,73.453476,989355,69.932884
"2015-12-30",73.294212,73.411568,72.347023,72.539818,1229625,69.062996
"2015-12-31",72.070412,72.673927,71.701591,71.860855,1099469,68.416565
"2016-01-04",70.787933,71.081306,69.488686,70.402344,2618993,67.027985
"2016-01-05",70.79631,70.989105,68.063705,68.449287,2853060,65.168533
"2016-01-06",67.233864,67.367981,66.102264,66.630341,4911223,63.436768
"2016-01-07",64.970665,65.498741,62.640404,62.900249,5553057,59.885452
"2016-01-08",63.461861,64.115677,61.58424,61.676445,3787536,58.720306
"2016-01-11",61.894382,63.813915,61.651299,63.570831,4103204,60.523899
"2016-01-12",64.719193,64.920372,60.838223,62.82481,7078546,59.813625
"2016-01-13",63.235542,63.327744,58.700752,58.801342,6122237,55.983002
"2016-01-14",58.860016,59.170158,55.264042,58.189438,8656647,55.400433
"2016-01-15",56.236378,57.367981,55.121544,56.554905,5657564,53.844246
"2016-01-19",57.267391,57.78709,55.758591,56.445934,3996908,53.740498
"2016-01-20",55.473595,56.026821,53.202011,55.088013,6356662,52.447662
"2016-01-21",55.406536,56.20285,54.425816,54.568314,4496059,51.952866
"2016-01-22",55.758591,56.672256,54.16597,54.518021,4120980,51.904995
"2016-01-25",54.341995,54.643757,53.495392,53.880974,3410071,51.298477
"2016-01-26",54.794636,55.75021,54.484493,55.632858,3200938,52.966393
"2016-01-27",55.373009,56.110645,54.886841,55.515507,4279530,52.854656
"2016-01-28",56.253143,56.982395,53.738476,53.763622,3269417,51.186737
"2016-01-29",53.805531,54.551552,53.227158,54.4342,3952409,51.825176
"2016-02-01",54.233025,55.867561,54.124058,55.658005,3406850,52.99033
"2016-02-02",55.096397,55.314335,53.294216,53.621124,3079014,51.051075
"2016-02-03",54.358761,54.400669,51.642918,52.430847,4677634,49.917854
"2016-02-04",51.139984,52.422462,47.778709,52.162617,4272968,49.662476
"2016-02-05",51.743504,52.883488,49.262363,49.81559,5568924,47.427937
"2016-02-08",49.019279,49.639565,47.057838,47.78709,5238940,45.496662
"2016-02-09",46.957253,48.876781,46.596813,48.31517,5892108,45.999428
"2016-02-10",48.767811,49.773682,48.709137,49.421627,4962999,47.052856
"2016-02-11",48.273262,50.637051,48.105618,49.145012,4159395,46.789501
"2016-02-12",50.08382,51.50042,49.413242,51.332775,4181465,49.115337
"2016-02-16",52.279964,53.252304,51.785416,52.908634,4812562,50.623131
"2016-02-17",53.260689,55.481979,53.143337,55.331097,3948591,52.940952
"2016-02-18",55.473595,56.286671,54.476112,54.794636,3054915,52.427662
"2016-02-19",54.543167,54.803017,53.545685,54.61861,2852463,52.259243
"2016-02-22",55.414921,56.588432,55.071247,55.406536,3322147,53.013134
"2016-02-23",54.987427,55.272423,53.805531,53.989941,3221816,51.657722
"2016-02-24",53.210396,53.663033,52.070412,53.386421,4157128,51.080284
"2016-02-25",53.487007,55.926235,53.285835,55.892708,3438703,53.478306
"2016-02-26",56.638725,57.024307,55.699917,55.926235,2959952,53.510376
"2016-02-29",55.917854,56.714165,55.649624,55.892708,3231956,53.478306
"2016-03-01",56.80637,57.912827,56.236378,57.728416,3103232,55.234722
"2016-03-02",57.652977,58.189438,57.342834,57.78709,2140123,55.290852
"2016-03-03",57.96312,59.47192,57.711651,59.337803,2874414,56.774574
"2016-03-04",59.21207,60.746017,58.67561,59.958088,4626215,57.368069
"2016-03-07",59.354568,59.681477,58.633698,59.170158,2299030,56.614178
"2016-03-08",58.549873,58.616932,57.309303,57.78709,2618158,55.290852
"2016-03-09",58.306789,58.851635,57.686504,57.929588,2179372,55.427189
