"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2011-04-21",18.908554,18.908554,18.298918,18.593904,3457597,17.688484
"2011-04-25",18.446411,18.987217,18.397247,18.820059,4105426,17.941578
"2011-04-26",18.938053,19.06588,18.711899,18.879057,3864600,17.997826
"2011-04-27",18.869223,18.997049,18.672565,18.839725,4649927,17.960325
"2011-04-28",18.879057,18.977385,18.505407,18.643068,4225737,17.77285
"2011-04-29",18.662733,19.036383,18.623402,18.672565,3138869,17.800964
"2011-05-02",18.810226,18.810226,17.954769,18.053097,5627061,17.210417
"2011-05-03",17.974436,18.13176,17.758112,18.112095,4510293,17.266657
"2011-05-04",18.112095,18.230087,17.954769,18.210423,3765951,17.360403
"2011-05-05",18.0236,18.721731,17.974436,18.40708,4428832,17.54788
"2011-05-06",18.652901,18.770895,18.171091,18.220257,2855329,17.369776
"2011-05-09",18.171091,18.20059,17.915438,17.964602,2414053,17.126049
"2011-05-10",17.994101,18.279253,17.856441,18.092428,3111308,17.247906
"2011-05-11",18.043264,18.161259,17.630285,17.669617,6095288,16.844833
"2011-05-12",17.581121,17.669617,17.227139,17.44346,4862989,16.629238
"2011-05-13",17.423796,17.47296,17.187807,17.227139,3265384,16.423008
"2011-05-16",17.168142,17.551622,17.168142,17.286137,3907924,16.479254
"2011-05-17",17.187807,17.256638,17.050146,17.217306,4181701,16.413641
"2011-05-18",17.227139,17.590954,17.227139,17.54179,2204144,16.722977
"2011-05-19",17.551622,17.708948,17.433628,17.620453,1772733,16.79797
"2011-05-20",17.630285,17.738445,17.44346,17.659784,2621318,16.835463
"2011-05-23",17.482794,17.74828,17.394297,17.551622,2353135,16.732349
"2011-05-24",17.561455,17.787611,17.384464,17.423796,2429918,16.610491
"2011-05-25",17.364798,18.102262,17.286137,17.708948,5002420,16.88233
"2011-05-26",17.640118,18.239922,17.492624,18.20059,3133682,17.35103
"2011-05-27",18.190758,18.721731,18.171091,18.58407,3257654,17.71661
"2011-05-31",18.702065,18.731564,18.269421,18.662733,3209754,17.791592
"2011-06-01",18.58407,18.702065,18.210423,18.239922,3783952,17.388523
"2011-06-02",18.239922,18.456244,17.787611,17.876106,4155055,17.041685
"2011-06-03",17.590954,17.944937,17.571287,17.679449,2655590,16.854202
"2011-06-06",17.600786,17.630285,17.118977,17.138643,2941266,16.33865
"2011-06-07",17.187807,17.207474,16.745329,16.755161,4264790,15.973063
"2011-06-08",16.705997,16.823992,16.391348,16.499508,5196565,15.729344
"2011-06-09",16.538839,17.030481,16.322517,16.755161,3311250,15.973063
"2011-06-10",16.666668,16.715832,16.116028,16.411013,4105527,15.644979
"2011-06-13",16.489676,16.666668,16.283186,16.578171,3477632,15.804337
"2011-06-14",16.774828,17.148476,16.745329,16.941986,3546177,16.151173
"2011-06-15",16.715832,16.892822,16.529007,16.60767,3642996,15.83246
"2011-06-16",16.666668,17.295969,16.617502,16.951818,4784375,16.160542
"2011-06-17",17.099312,17.217306,16.902655,17.168142,3265079,16.366768
"2011-06-20",17.05998,17.364798,16.88299,17.295969,2517075,16.488626
"2011-06-21",17.394297,17.699116,17.315634,17.54179,3277181,16.722977
