"dates","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2011-03-24",48.700001,48.924999,48.130001,48.705002,1543200,37.857468
"2011-03-25",48.950001,49.849998,48.759998,49.060001,2176200,38.1334
"2011-03-28",49.23,49.349998,48.610001,48.625,979600,37.79528
"2011-03-29",48.625,49.525002,48.27,49.384998,887000,38.386021
"2011-03-30",49.950001,50.07,49.014999,49.439999,1066000,38.428772
"2011-03-31",49.439999,49.904999,49.400002,49.66,816800,38.599758
"2011-04-01",50.064999,50.490002,49.875,50.195,1624800,39.015614
"2011-04-04",50.470001,50.605,50.049999,50.325001,1348800,39.116657
"2011-04-05",50.16,50.974998,49.84,50.435001,1245200,39.20216
"2011-04-06",50.669998,50.994999,49.639999,49.974998,1937000,38.844608
"2011-04-07",49.895,50.540001,49.619999,50.134998,2479400,38.968979
"2011-04-08",50.665001,50.665001,49.580002,49.994999,1557400,38.860168
"2011-04-11",49.994999,50.084999,48.52,48.860001,2241600,37.977947
"2011-04-12",48.645,49.174999,47.689999,48.185001,3613200,37.453281
"2011-04-13",48.424999,48.529999,47.755001,48.125,2364000,37.406639
"2011-04-14",47.825001,48.755001,47.790001,48.509998,1772600,37.705887
"2011-04-15",48.66,49.505001,48.595001,49.330002,2165800,38.343262
"2011-04-18",48.875,49.145,47.889999,48.93,2535000,38.032352
"2011-04-19",49.02,49.685001,48.91,49.564999,2445800,38.525928
"2011-04-20",50.325001,50.505001,49.860001,50,2324800,38.864037
"2011-04-21",50.200001,50.395,49.845001,50.380001,2204400,39.15942
"2011-04-25",50.380001,50.75,50.075001,50.509998,2233800,39.260464
"2011-04-26",50.834999,51.380001,50.509998,50.744999,2800000,39.443119
"2011-04-27",50.799999,51.32,49.915001,51.145,2640400,39.754032
"2011-04-28",51.169998,51.950001,50.794998,51.465,2656800,40.002754
"2011-04-29",54.595001,55.360001,53.514999,53.625,6246200,41.681686
"2011-05-02",53.895,54.470001,52.645,52.744999,3445400,40.997677
"2011-05-03",52.494999,52.669998,51.080002,51.605,2893800,40.111572
"2011-05-04",51.805,52.029999,50.805,50.994999,3003200,39.637444
"2011-05-05",50.73,51.715,50.485001,50.724998,3547600,39.427567
"2011-05-06",51.505001,52.330002,51.465,51.73,2566400,40.208733
"2011-05-09",51.790001,53.014999,51.654999,52.955002,2256200,41.160919
"2011-05-10",53.095001,54.279999,53.044998,54.075001,3703400,42.031467
"2011-05-11",53.965,54.035,52.849998,53,2546600,41.195881
"2011-05-12",52.75,53.125,51.965,52.455002,2156400,40.772255
"2011-05-13",52.575001,53.105,52.09,52.275002,2564200,40.632359
"2011-05-16",51.959999,52.665001,51.48,51.645,1654400,40.142677
"2011-05-17",51.32,51.584999,50.505001,50.904999,1929200,39.567486
"2011-05-18",51.095001,52.514999,50.895,52.360001,1401400,40.698421
"2011-05-19",52.525002,53.09,52.130001,52.584999,1314800,40.87331
"2011-05-20",52.424999,52.525002,51.365002,51.68,1653000,40.169884
"2011-05-23",50.810001,50.834999,49.355,50.005001,2799400,38.867924
"2011-05-24",50.380001,50.849998,49.900002,50.095001,1793200,38.937885
"2011-05-25",49.860001,51.790001,49.75,51.404999,1750000,39.95612
"2011-05-26",51.325001,51.895,50.950001,51.610001,1426400,40.115471
"2011-05-27",51.779999,52.57,51.775002,52.23,1177000,40.59737
"2011-05-31",52.915001,53.119999,52.150002,52.924999,1664000,41.137596
"2011-06-01",52.814999,52.869999,50.904999,51.105,2546200,39.722939
"2011-06-02",51.285,51.790001,50.634998,51.505001,2315200,40.033848
"2011-06-03",50.674999,50.945,49.75,50.34,2031600,39.128319
"2011-06-06",50.349998,50.82,50.025002,50.064999,1589400,38.91457
"2011-06-07",50.43,51.130001,49.93,50.764999,1981000,39.45866
"2011-06-08",50.584999,50.75,49.810001,50.305,1968000,39.10112
"2011-06-09",50.564999,51.474998,50.244999,50.57,1840000,39.307087
"2011-06-10",50.384998,50.689999,49.669998,49.860001,2003800,38.755222
"2011-06-13",49.91,50.205002,48.959999,49.369999,1716800,38.55608
